sample_id,task,A,B,best_tau_set,best_tau_mean_norm,best_second_tau_margin,first_match_norm,last_match_norm,match_span_norm,contiguous_width_norm,match_n,full_score_tau_n
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,L24,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,OFF,ALL,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,OFF,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,L24,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L0,ALL,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,OFF,[11],0.7333333333333333,0.33333333333333337,0.7333333333333333,0.7333333333333333,0.0,0.0,1,1
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L0,[2],0.13333333333333333,0.33333333333333337,0.13333333333333333,0.13333333333333333,0.0,0.0,1,1
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,L24,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L6,ALL,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L12,OFF,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L12,L0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L12,L6,[11],0.7333333333333333,0.33333333333333337,0.7333333333333333,0.7333333333333333,0.0,0.0,1,1
ruler_fwe_16k:0010,ruler_fwe_16k,L12,L18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L12,L24,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L12,ALL,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L18,OFF,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L18,L0,[2],0.13333333333333333,0.33333333333333337,0.13333333333333333,0.13333333333333333,0.0,0.0,1,1
ruler_fwe_16k:0010,ruler_fwe_16k,L18,L6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
ruler_fwe_16k:0010,ruler_fwe_16k,L18,L12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5,0.0,,,,0.0,0,0
