sample_id,task,improved,T,candidate_n,duplicate_sequence_n,observed_one_switch_n,full_R2_expected_n,R2_coverage,complete_R2,reverse_available_n
ruler_fwe_16k:0000,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0001,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0003,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0004,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0008,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0010,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0011,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0013,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0015,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0016,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0020,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0021,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0022,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0025,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0026,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0030,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0032,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0033,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0035,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0036,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
