set,type,tasks_n,tasks_with_defined_null,tasks_enriched_gt1,tasks_observed_positive,macro_task_fraction,micro_sample_fraction
best,ALL_to_OFF,9,6,4,8,0.03475373976674423,0.03811263806801802
best,ALL_to_layer,9,8,4,8,0.14963038012799673,0.17012463758691307
best,OFF_to_ALL,9,6,6,8,0.0307193881919581,0.031839174977018186
best,OFF_to_layer,9,6,2,8,0.058325444364667994,0.07360963282848358
best,deep_to_shallow,9,9,1,8,0.20284933661050586,0.22381128075414
best,layer_to_ALL,9,8,5,8,0.13337324765167446,0.15510984724503016
best,layer_to_OFF,9,6,1,8,0.05837375690516314,0.06686064684582249
best,shallow_to_deep,9,9,2,9,0.33197470638128945,0.2405321416945743
match,ALL_to_OFF,9,5,4,8,0.03677440297554545,0.03944165761721494
match,ALL_to_layer,9,8,5,8,0.15687219651622228,0.17511822137221225
match,OFF_to_ALL,9,5,5,8,0.03189628628667218,0.032587707782361544
match,OFF_to_layer,9,6,2,8,0.05368714179340141,0.06852578223877276
match,deep_to_shallow,9,9,1,8,0.20169105517723165,0.22262237093768744
match,layer_to_ALL,9,8,5,8,0.13679213397901752,0.1588399430802697
match,layer_to_OFF,9,6,1,8,0.05312410133858008,0.06137744322857822
match,shallow_to_deep,9,9,2,9,0.32916268193332937,0.24148687374290329
