set,task,n,dominant_type_ties,dominant_fraction
best,ruler_fwe_16k,21,"[""shallow_to_deep""]",0.2512334361353969
best,ruler_niah_multikey_1_16k,1,"[""shallow_to_deep""]",1.0
best,ruler_niah_multikey_2_16k,4,"[""shallow_to_deep""]",0.3827650811346463
best,ruler_niah_multikey_3_16k,16,"[""ALL_to_layer""]",0.2837114151755411
best,ruler_niah_multiquery_16k,12,"[""deep_to_shallow""]",0.2936676419767787
best,ruler_niah_multivalue_16k,8,"[""shallow_to_deep""]",0.30292902713668307
best,ruler_qa_hotpotqa_16k,14,"[""deep_to_shallow""]",0.24928598836515428
best,ruler_qa_squad_16k,17,"[""deep_to_shallow""]",0.304840948525159
best,ruler_vt_16k,77,"[""shallow_to_deep""]",0.24560683186789595
match,ruler_fwe_16k,20,"[""shallow_to_deep""]",0.25189034603740484
match,ruler_niah_multikey_1_16k,1,"[""shallow_to_deep""]",1.0
match,ruler_niah_multikey_2_16k,4,"[""shallow_to_deep""]",0.3827650811346463
match,ruler_niah_multikey_3_16k,12,"[""ALL_to_layer""]",0.3385993472181821
match,ruler_niah_multiquery_16k,11,"[""deep_to_shallow""]",0.29871967869328253
match,ruler_niah_multivalue_16k,8,"[""shallow_to_deep""]",0.30292902713668307
match,ruler_qa_hotpotqa_16k,12,"[""deep_to_shallow""]",0.25115111341014035
match,ruler_qa_squad_16k,15,"[""deep_to_shallow""]",0.3137403765824819
match,ruler_vt_16k,71,"[""shallow_to_deep""]",0.24776328032549053
