set,task,n,A,B,observed_mass,observed_fraction,expected_mass,enrichment
best,ALL_TASKS,170,OFF,L0,4.153903030435726,0.024434723708445443,2.044979992064635,2.0312682992276603
best,ALL_TASKS,170,OFF,L6,2.8108554516711233,0.016534443833359547,5.855686616067354,0.4800214963619207
best,ALL_TASKS,170,OFF,L12,2.9691395830241953,0.017465526958965853,1.3798196055109528,2.151831711308893
best,ALL_TASKS,170,OFF,L18,1.8702286833713009,0.01100134519630177,1.8844173662469317,0.9924705199974412
best,ALL_TASKS,170,OFF,L24,0.7095108323398651,0.004173593131410971,1.4254199712518316,0.4977556415999692
best,ALL_TASKS,170,OFF,ALL,5.412659746093092,0.031839174977018186,2.852729175223455,1.897361934355061
best,ALL_TASKS,170,L0,OFF,3.4989281266568146,0.020581930156804793,2.044979992064635,1.7109840390781805
best,ALL_TASKS,170,L0,L6,4.566919771255618,0.02686423394856246,1.9104842468745624,2.390451414989066
best,ALL_TASKS,170,L0,L12,5.840745525044566,0.03435732661790921,6.634398894319881,0.8803729799914788
best,ALL_TASKS,170,L0,L18,6.888874385550786,0.04052279050323992,6.971612584669184,0.9881321289567436
best,ALL_TASKS,170,L0,L24,4.90068012833738,0.02882753016669047,9.196461530132376,0.5328875798893097
best,ALL_TASKS,170,L0,ALL,5.813950741159956,0.03419971024211739,3.8178798058977232,1.5228218374446398
best,ALL_TASKS,170,L6,OFF,3.1837841139505882,0.018728141846768166,5.855686616067354,0.543708077753792
best,ALL_TASKS,170,L6,L0,9.602584196158562,0.05648578938916801,1.9104842468745624,5.026256673860469
best,ALL_TASKS,170,L6,L12,3.645159424156596,0.021442114259744682,5.675327765716781,0.6422817455894058
best,ALL_TASKS,170,L6,L18,5.5538480141268405,0.03266969420074612,4.293907693935883,1.2934251059868664
best,ALL_TASKS,170,L6,L24,1.965017999609599,0.01155892940946823,0.8530799220272905,2.303439512372836
best,ALL_TASKS,170,L6,ALL,5.66786213367135,0.03334036549218441,5.832388794356758,0.9717908619458636
best,ALL_TASKS,170,L12,OFF,1.5590418337149783,0.00917083431597046,1.3798196055109528,1.1298881589218024
best,ALL_TASKS,170,L12,L0,4.422596549188756,0.02601527381875739,6.634398894319881,0.6666160144478521
best,ALL_TASKS,170,L12,L6,4.0305775708239056,0.023709279828375916,5.675327765716781,0.7101929152306594
best,ALL_TASKS,170,L12,L18,2.7017933327199906,0.015892901957176415,2.367441101252749,1.1412293768534796
best,ALL_TASKS,170,L12,L24,2.6236644786365106,0.01543332046256771,2.0042244837274787,1.3090671728333498
best,ALL_TASKS,170,L12,ALL,4.798830137873836,0.028228412575728445,4.845872969305464,0.9902921864172657
best,ALL_TASKS,170,L18,OFF,2.091551365947154,0.012303243329100905,1.8844173662469317,1.1099193859122394
best,ALL_TASKS,170,L18,L0,5.463288752940355,0.032136992664355025,6.971612584669184,0.783647784008296
best,ALL_TASKS,170,L18,L6,2.4445783341114105,0.014379872553596532,4.293907693935883,0.5693132010182222
best,ALL_TASKS,170,L18,L12,2.61526582540976,0.015383916620057413,2.367441101252749,1.1046804180369567
best,ALL_TASKS,170,L18,L24,2.203761028639742,0.012963300168469073,5.518309953380534,0.399354339871705
best,ALL_TASKS,170,L18,ALL,3.792291706816864,0.022307598275393317,4.597294181079175,0.8248964624505835
best,ALL_TASKS,170,L24,OFF,1.0330045235202867,0.006076497197178157,1.4254199712518316,0.7247018733805742
best,ALL_TASKS,170,L24,L0,3.4791211428576356,0.020465418487397857,9.196461530132376,0.3783108461290498
best,ALL_TASKS,170,L24,L6,2.3109148197727443,0.013593616586898496,0.8530799220272905,2.708907758936585
best,ALL_TASKS,170,L24,L12,1.9500534200727153,0.011470902471015973,2.0042244837274787,0.9729715587776797
best,ALL_TASKS,170,L24,L18,1.7289371168679641,0.010170218334517436,5.518309953380534,0.31330917100965155
best,ALL_TASKS,170,L24,ALL,6.295739312133118,0.03703376065960658,5.038263346958998,1.2495852000140304
best,ALL_TASKS,170,ALL,OFF,6.479148471563063,0.03811263806801802,2.852729175223455,2.2712105053069225
best,ALL_TASKS,170,ALL,L0,5.358252675394239,0.03151913338467199,3.8178798058977232,1.4034629029224555
best,ALL_TASKS,170,ALL,L6,5.185145732989374,0.030500857252878672,5.832388794356758,0.8890260776178646
best,ALL_TASKS,170,ALL,L12,6.011720157238096,0.03536305974845939,4.845872969305464,1.2405855859857025
best,ALL_TASKS,170,ALL,L18,6.591761726312239,0.038775068978307285,4.597294181079175,1.4338350922683132
best,ALL_TASKS,170,ALL,L24,5.774308097841273,0.03396651822259573,5.038263346958998,1.146090964325344
best,ruler_fwe_16k,21,OFF,L0,0.5623280423280421,0.026777525825144862,0.0,
best,ruler_fwe_16k,21,OFF,L6,0.1949206349206348,0.009281934996220705,0.5843079922027291,0.33359227928035246
best,ruler_fwe_16k,21,OFF,L12,0.29678571428571426,0.01413265306122449,0.018518518518518517,16.02642857142857
best,ruler_fwe_16k,21,OFF,L18,0.5012838468720822,0.023870659374861054,0.554093567251462,0.9046916919802221
best,ruler_fwe_16k,21,OFF,L24,0.02380952380952381,0.0011337868480725624,0.25,0.09523809523809525
best,ruler_fwe_16k,21,OFF,ALL,0.5003174603174603,0.023824640967498107,0.037037037037037035,13.508571428571429
best,ruler_fwe_16k,21,L0,OFF,0.34936507936507943,0.01663643235071807,0.0,
best,ruler_fwe_16k,21,L0,L6,0.4177873977873977,0.01989463798987608,0.044159544159544165,9.460863007959778
best,ruler_fwe_16k,21,L0,L12,0.24909769968593487,0.011861795223139756,0.913105413105413,0.27280278499146066
best,ruler_fwe_16k,21,L0,L18,0.722020202020202,0.03438191438191438,0.7891737891737892,0.9149064653757794
best,ruler_fwe_16k,21,L0,L24,0.3249582661347366,0.015474203149273173,0.6723646723646725,0.48330657378513786
best,ruler_fwe_16k,21,L0,ALL,1.307037037037037,0.06223985890652557,0.17948717948717957,7.282063492063489
best,ruler_fwe_16k,21,L6,OFF,0.29513227513227513,0.014053917863441673,0.5843079922027291,0.5050971047301323
best,ruler_fwe_16k,21,L6,L0,1.781466202642673,0.08483172393536538,0.044159544159544165,40.34158949210182
best,ruler_fwe_16k,21,L6,L12,0.6325925925925926,0.030123456790123456,1.6353276353276351,0.386829268292683
best,ruler_fwe_16k,21,L6,L18,1.729642857142857,0.08236394557823129,0.8302594092067777,2.0832559534559714
best,ruler_fwe_16k,21,L6,L24,0.10084656084656085,0.004802217183169565,0.16666666666666669,0.605079365079365
best,ruler_fwe_16k,21,L6,ALL,0.7483076563958917,0.03563369792361389,0.5534188034188035,1.352154375263619
best,ruler_fwe_16k,21,L12,OFF,0.30136321195144716,0.014350629140545103,0.018518518518518517,16.273613445378146
best,ruler_fwe_16k,21,L12,L0,0.614074074074074,0.029241622574955904,0.913105413105413,0.6725117004680187
best,ruler_fwe_16k,21,L12,L6,0.7492997198879552,0.03568093904228358,1.6353276353276351,0.4581954733112758
best,ruler_fwe_16k,21,L12,L18,0.3144841269841269,0.014975434618291757,0.48074074074074075,0.6541657495047324
best,ruler_fwe_16k,21,L12,L24,0.5113632119514472,0.024350629140545105,0.74,0.6910313675019557
best,ruler_fwe_16k,21,L12,ALL,0.18233766233766224,0.008682745825602963,0.15384615384615388,1.1851948051948042
best,ruler_fwe_16k,21,L18,OFF,0.02380952380952381,0.0011337868480725624,0.554093567251462,0.04297022238974746
best,ruler_fwe_16k,21,L18,L0,0.5280394986277338,0.025144738029892085,0.7891737891737892,0.6691042022322548
best,ruler_fwe_16k,21,L18,L6,0.37216931216931204,0.017722348198538667,0.8302594092067777,0.44825666296860067
best,ruler_fwe_16k,21,L18,L12,0.24140211640211634,0.011495338876291254,0.48074074074074075,0.5021461589258198
best,ruler_fwe_16k,21,L18,L24,0.2731092436974789,0.013005202080832329,0.9402279202279202,0.2904713185195294
best,ruler_fwe_16k,21,L18,ALL,0.36020881079704603,0.01715280051414505,0.6944444444444444,0.5187006875477463
best,ruler_fwe_16k,21,L24,OFF,0.02380952380952381,0.0011337868480725624,0.25,0.09523809523809525
best,ruler_fwe_16k,21,L24,L0,0.24503968253968253,0.011668556311413454,0.6723646723646725,0.36444461259079897
best,ruler_fwe_16k,21,L24,L6,0.08380952380952382,0.00399092970521542,0.16666666666666669,0.5028571428571429
best,ruler_fwe_16k,21,L24,L12,0.2094841269841269,0.009975434618291758,0.74,0.283086658086658
best,ruler_fwe_16k,21,L24,L18,0.14145658263305314,0.006736027744431101,0.9402279202279202,0.1504492470280639
best,ruler_fwe_16k,21,L24,ALL,1.7582539682539682,0.08372637944066515,0.26282051282051283,6.6899419279907075
best,ruler_fwe_16k,21,ALL,OFF,0.6393650793650794,0.030445956160241875,0.037037037037037035,17.262857142857143
best,ruler_fwe_16k,21,ALL,L0,0.41744786803610323,0.019878469906481105,0.17948717948717957,2.325780979058288
