set,task,n,type,observed_mass,observed_fraction,expected_mass,enrichment
best,ALL_TASKS,170,ALL_to_OFF,6.479148471563063,0.03811263806801802,2.852729175223455,2.2712105053069225
best,ALL_TASKS,170,ALL_to_layer,28.92118838977522,0.17012463758691307,24.13169909759812,1.1984729410393573
best,ALL_TASKS,170,OFF_to_ALL,5.412659746093092,0.031839174977018186,2.852729175223455,1.897361934355061
best,ALL_TASKS,170,OFF_to_layer,12.51363758084221,0.07360963282848358,12.590323551141704,0.9939091342658513
best,ALL_TASKS,170,deep_to_shallow,38.0479177282038,0.22381128075414,45.42524817603672,0.8375940529979383
best,ALL_TASKS,170,layer_to_ALL,26.368674031655125,0.15510984724503016,24.13169909759812,1.0926986087887884
best,ALL_TASKS,170,layer_to_OFF,11.366309963789822,0.06686064684582249,12.590323551141704,0.9027814033229601
best,ALL_TASKS,170,shallow_to_deep,40.89046408807763,0.2405321416945743,45.42524817603672,0.900170405885612
best,ruler_fwe_16k,21,ALL_to_OFF,0.6393650793650794,0.030445956160241875,0.037037037037037035,17.262857142857143
best,ruler_fwe_16k,21,ALL_to_layer,2.6894219505984207,0.12806771193325814,1.8440170940170941,1.4584582536269535
best,ruler_fwe_16k,21,OFF_to_ALL,0.5003174603174603,0.023824640967498107,0.037037037037037035,13.508571428571429
best,ruler_fwe_16k,21,OFF_to_layer,1.579127762215997,0.07519656010552367,1.4069200779727096,1.1224004738715712
best,ruler_fwe_16k,21,deep_to_shallow,4.9662408397702515,0.23648765903667865,7.2120257909731595,0.6886055296677092
best,ruler_fwe_16k,21,layer_to_ALL,4.356145134821605,0.2074354826105526,1.8440170940170941,2.362312772997116
best,ruler_fwe_16k,21,layer_to_OFF,0.9934796140678495,0.04730855305084997,1.4069200779727096,0.7061379175847686
best,ruler_fwe_16k,21,shallow_to_deep,5.275902158843334,0.2512334361353969,7.2120257909731595,0.7315423310669313
best,ruler_niah_multikey_1_16k,1,ALL_to_OFF,0,0.0,0.0,
best,ruler_niah_multikey_1_16k,1,ALL_to_layer,0,0.0,0.0,
best,ruler_niah_multikey_1_16k,1,OFF_to_ALL,0,0.0,0.0,
best,ruler_niah_multikey_1_16k,1,OFF_to_layer,0,0.0,0.0,
best,ruler_niah_multikey_1_16k,1,deep_to_shallow,0,0.0,0.5,0.0
best,ruler_niah_multikey_1_16k,1,layer_to_ALL,0,0.0,0.0,
best,ruler_niah_multikey_1_16k,1,layer_to_OFF,0,0.0,0.0,
best,ruler_niah_multikey_1_16k,1,shallow_to_deep,1.0,1.0,0.5,2.0
best,ruler_niah_multikey_2_16k,4,ALL_to_OFF,0.15941465941465943,0.03985366485366486,0.0,
