cohort,metric,n,rho,ci_low,ci_high,valid_bootstrap_n
improved170,switch_count,170,0.014992806252524195,-0.1334389586275021,0.1592395094466521,2000
improved170,distinct_actions,170,-0.01116664492616105,-0.15888494228827316,0.1372206077017303,2000
improved170,entropy,170,0.154379659666087,-0.0025229228603345214,0.29850755423587466,2000
improved170,first_switch_norm,170,0.5376737632732739,0.4571631878970288,0.6126565605627472,2000
improved170,last_switch_norm,170,0.17479559261049743,0.026925585200633758,0.3133909480458865,2000
improved170,max_run_fraction,170,-0.17752088265218957,-0.31741709515807237,-0.02820353789799424,2000
native_multi_switch,switch_count,78,-0.19592111766117104,-0.39103907643769037,0.015017233906175112,2000
native_multi_switch,distinct_actions,78,-0.17340148186183427,-0.36722057358162735,0.05188265467352722,2000
native_multi_switch,entropy,78,-0.09767502575197604,-0.3054015904908117,0.13156152881040636,2000
native_multi_switch,first_switch_norm,78,0.5735934847262479,0.46500247128038563,0.6685163436326673,2000
native_multi_switch,last_switch_norm,78,-0.04121268158035017,-0.24052378789371068,0.17566817954205757,2000
native_multi_switch,max_run_fraction,78,0.03149639280928289,-0.19313957079153202,0.23725452709704284,2000
ruler_fwe_16k,switch_count,21,0.04698965586236235,,,0
ruler_fwe_16k,distinct_actions,21,0.20516631500399363,,,0
ruler_fwe_16k,entropy,21,0.15106361590198586,,,0
ruler_fwe_16k,max_run_fraction,21,-0.057820996309681745,,,0
ruler_niah_multikey_1_16k,switch_count,1,,,,0
ruler_niah_multikey_1_16k,distinct_actions,1,,,,0
ruler_niah_multikey_1_16k,entropy,1,,,,0
ruler_niah_multikey_1_16k,max_run_fraction,1,,,,0
ruler_niah_multikey_2_16k,switch_count,4,,,,0
ruler_niah_multikey_2_16k,distinct_actions,4,,,,0
ruler_niah_multikey_2_16k,entropy,4,,,,0
ruler_niah_multikey_2_16k,max_run_fraction,4,,,,0
ruler_niah_multikey_3_16k,switch_count,16,,,,0
ruler_niah_multikey_3_16k,distinct_actions,16,,,,0
ruler_niah_multikey_3_16k,entropy,16,,,,0
ruler_niah_multikey_3_16k,max_run_fraction,16,,,,0
ruler_niah_multiquery_16k,switch_count,12,-0.17196754578045376,,,0
ruler_niah_multiquery_16k,distinct_actions,12,-0.1724878723728207,,,0
ruler_niah_multiquery_16k,entropy,12,-0.1724878723728207,,,0
ruler_niah_multiquery_16k,max_run_fraction,12,0.17196754578045376,,,0
ruler_niah_multivalue_16k,switch_count,8,0.5345224838248487,,,0
ruler_niah_multivalue_16k,distinct_actions,8,0.4879500364742665,,,0
ruler_niah_multivalue_16k,entropy,8,0.380952380952381,,,0
ruler_niah_multivalue_16k,max_run_fraction,8,-0.5345224838248487,,,0
ruler_qa_hotpotqa_16k,switch_count,14,,,,0
ruler_qa_hotpotqa_16k,distinct_actions,14,,,,0
ruler_qa_hotpotqa_16k,entropy,14,,,,0
ruler_qa_hotpotqa_16k,max_run_fraction,14,,,,0
ruler_qa_squad_16k,switch_count,17,,,,0
ruler_qa_squad_16k,distinct_actions,17,,,,0
ruler_qa_squad_16k,entropy,17,,,,0
ruler_qa_squad_16k,max_run_fraction,17,,,,0
ruler_vt_16k,switch_count,77,-0.039916559975446096,,,0
ruler_vt_16k,distinct_actions,77,-0.05772831230367947,,,0
ruler_vt_16k,entropy,77,0.017287573976355747,,,0
ruler_vt_16k,max_run_fraction,77,-0.04608108316222586,,,0
