sample_id,task,matching_candidate_n,early_alignment,late_alignment,joint_alignment,joint_any,joint_all,modal_sets_overlap,early_modes,late_modes,all_observed_joint_baseline
ruler_fwe_16k:0010,ruler_fwe_16k,9,0.1111111111111111,0.1111111111111111,0.0,False,False,True,"[""L18""]","[""L18""]",0.0
ruler_fwe_16k:0088,ruler_fwe_16k,4,0.5,0.25,0.0,False,False,True,"[""L6""]","[""L6""]",0.0
ruler_fwe_16k:0108,ruler_fwe_16k,4,0.0,0.0,0.0,False,False,True,"[""L18""]","[""L18""]",0.0
ruler_fwe_16k:0227,ruler_fwe_16k,3,0.0,0.0,0.0,False,False,True,"[""L0""]","[""L0""]",0.0
ruler_fwe_16k:0242,ruler_fwe_16k,18,0.2777777777777778,0.16666666666666666,0.0,False,False,True,"[""L12""]","[""L12""]",0.0
ruler_fwe_16k:0254,ruler_fwe_16k,1,0.0,1.0,0.0,False,False,True,"[""ALL""]","[""ALL""]",0.0
ruler_fwe_16k:0256,ruler_fwe_16k,1,0.0,0.0,0.0,False,False,True,"[""L18""]","[""L18""]",0.0
ruler_fwe_16k:0260,ruler_fwe_16k,21,0.19047619047619047,0.23809523809523808,0.0,False,False,True,"[""L12""]","[""L12""]",0.0
ruler_fwe_16k:0293,ruler_fwe_16k,27,0.2222222222222222,0.14814814814814814,0.0,False,False,True,"[""ALL""]","[""ALL""]",0.0
ruler_fwe_16k:0298,ruler_fwe_16k,18,0.16666666666666666,0.1111111111111111,0.0,False,False,True,"[""L6""]","[""L6""]",0.0
ruler_fwe_16k:0321,ruler_fwe_16k,3,0.0,0.0,0.0,False,False,True,"[""L24""]","[""L24""]",0.0
ruler_fwe_16k:0324,ruler_fwe_16k,7,0.14285714285714285,0.14285714285714285,0.0,False,False,True,"[""L12""]","[""L12""]",0.0
ruler_fwe_16k:0351,ruler_fwe_16k,1,0.0,0.0,0.0,False,False,True,"[""L12""]","[""L12""]",0.0
ruler_fwe_16k:0372,ruler_fwe_16k,11,0.0,0.18181818181818182,0.0,False,False,True,"[""L24""]","[""L24""]",0.0
ruler_fwe_16k:0373,ruler_fwe_16k,3,0.0,0.3333333333333333,0.0,False,False,True,"[""L12""]","[""L12""]",0.0
ruler_fwe_16k:0386,ruler_fwe_16k,3,0.0,0.6666666666666666,0.0,False,False,True,"[""L0""]","[""L0""]",0.0
ruler_fwe_16k:0472,ruler_fwe_16k,4,0.0,0.25,0.0,False,False,True,"[""L24""]","[""L24""]",0.0
