sample_id,task,T,sample_best,native,gain,switch_count,distinct_actions,longest_run,mean_run_length,max_run_fraction,entropy,return_count,aba_n,first_switch_norm,last_switch_norm,r2_score,r2_recovery,at_most_one_switch_recovery,r2_match,r2_match_n,r2_best_n,r2_matching_pair_n,r2_max_plateau_n,r2_coverage,best_A,best_B,best_tau,best_tau_norm,best_mean_distance_first_norm,best_mean_distance_last_norm,available_reverse_pairs,available_reverse_mean_abs_delta,available_reverse_unequal_fraction,best_reverse_delta_if_observed,selected_best_prediction_match,any_matching_prediction_match,matching_prediction_fraction,trajectory
ruler_fwe_16k:0010,ruler_fwe_16k,15,0.6666666666666666,1.0,0.33333333333333337,3,3,12,3.75,0.8,0.6998428398862386,1,0,0.06666666666666667,0.2,1.0,1.0,1.0,True,9,9,8,1,1.0,L6,L0,2,0.13333333333333333,0.36296296296296293,0.2740740740740741,294,0.01020408163265306,0.030612244897959183,0.33333333333333337,True,True,1.0,"[""L18"", ""L0"", ""L12"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_fwe_16k:0088,ruler_fwe_16k,15,0.6666666666666666,1.0,0.33333333333333337,5,3,9,2.5,0.6,0.9055872616982603,3,3,0.06666666666666667,0.4,1.0,1.0,1.0,True,4,4,4,1,1.0,L12,L6,8,0.5333333333333333,0.6,0.26666666666666666,294,0.0045351473922902496,0.013605442176870748,0.33333333333333337,True,True,1.0,"[""OFF"", ""L6"", ""OFF"", ""L6"", ""L6"", ""L18"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]"
ruler_fwe_16k:0108,ruler_fwe_16k,15,0.6666666666666666,1.0,0.33333333333333337,6,4,8,2.142857142857143,0.5333333333333333,1.0389205950315936,3,3,0.06666666666666667,0.4666666666666667,1.0,1.0,1.0,True,4,4,4,1,1.0,L6,ALL,8,0.5333333333333333,0.5,0.1,294,0.0045351473922902496,0.013605442176870748,0.33333333333333337,True,True,1.0,"[""L18"", ""L0"", ""L18"", ""L18"", ""ALL"", ""L18"", ""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_fwe_16k:0227,ruler_fwe_16k,15,0.6666666666666666,1.0,0.33333333333333337,3,4,12,3.75,0.8,1.0389205950315936,0,0,0.06666666666666667,0.2,1.0,1.0,1.0,True,3,3,3,1,1.0,ALL,L12,2,0.13333333333333333,0.2888888888888889,0.19999999999999998,294,0.003401360544217687,0.01020408163265306,0.33333333333333337,True,True,1.0,"[""L24"", ""L18"", ""ALL"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]"
ruler_fwe_16k:0242,ruler_fwe_16k,15,0.6666666666666666,1.0,0.33333333333333337,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,True,18,18,14,1,1.0,L24,L12,1,0.06666666666666667,0.44814814814814813,0.44814814814814813,294,0.31632653061224486,0.4931972789115646,0.33333333333333337,True,True,1.0,"[""L24"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"
ruler_fwe_16k:0254,ruler_fwe_16k,14,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,2,12,4.666666666666667,0.8571428571428571,0.37123232664087563,1,1,0.07142857142857142,0.14285714285714285,0.6666666666666666,1.0,1.0,True,1,1,1,1,1.0,L24,ALL,12,0.8571428571428571,0.7857142857142857,0.7142857142857143,273,0.001221001221001221,0.003663003663003663,0.3333333333333333,True,True,1.0,"[""ALL"", ""L6"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]"
ruler_fwe_16k:0256,ruler_fwe_16k,15,0.3333333333333333,0.6666666666666666,0.3333333333333333,4,3,10,3.0,0.6666666666666666,0.6998428398862386,2,2,0.06666666666666667,0.3333333333333333,0.6666666666666666,1.0,1.0,True,1,1,1,1,1.0,L6,L0,7,0.4666666666666667,0.4,0.13333333333333333,294,0.0011337868480725624,0.003401360544217687,0.3333333333333333,True,True,1.0,"[""L18"", ""L0"", ""L18"", ""L18"", ""L24"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_fwe_16k:0260,ruler_fwe_16k,15,0.6666666666666666,1.0,0.33333333333333337,3,3,11,3.75,0.7333333333333333,0.6998428398862386,1,1,0.06666666666666667,0.26666666666666666,1.0,1.0,1.0,True,21,21,16,2,1.0,OFF,L12,2,0.13333333333333333,0.292063492063492,0.15555555555555556,294,0.023809523809523808,0.07142857142857142,0.33333333333333337,True,True,1.0,"[""L6"", ""L12"", ""L12"", ""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"
ruler_fwe_16k:0293,ruler_fwe_16k,14,0.6666666666666666,1.0,0.33333333333333337,1,2,13,7.0,0.9285714285714286,0.37123232664087563,0,0,0.07142857142857142,0.07142857142857142,1.0,1.0,1.0,True,27,27,19,2,1.0,L18,ALL,1,0.07142857142857142,0.4788359788359789,0.4788359788359789,273,0.030525030525030528,0.09157509157509157,0.33333333333333337,True,True,1.0,"[""L18"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]"
ruler_fwe_16k:0298,ruler_fwe_16k,15,0.6666666666666666,1.0,0.33333333333333337,2,3,13,5.0,0.8666666666666667,0.6998428398862386,0,0,0.06666666666666667,0.13333333333333333,1.0,1.0,1.0,True,18,18,15,1,1.0,L0,OFF,2,0.13333333333333333,0.48148148148148145,0.4148148148148148,294,0.018140589569160998,0.05442176870748299,0.33333333333333337,True,True,1.0,"[""OFF"", ""L12"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]"
