task,full_n,improved_n,full_gain_pp,r2_match_n,switch_count,at_most_one_switch_recovery,r2_coverage,r2_max_plateau_n
ruler_fwe_16k,500,21,1.4000000000000001,20,2.7142857142857144,0.9523809523809523,1.0,1.1904761904761905
ruler_niah_multikey_1_16k,500,1,0.2,1,1.0,1.0,1.0,1.0
ruler_niah_multikey_2_16k,500,4,0.8,4,1.25,1.0,1.0,2.75
ruler_niah_multikey_3_16k,500,16,3.2,12,2.8125,0.75,1.0,1.6875
ruler_niah_multiquery_16k,500,12,0.65,11,1.75,0.9166666666666666,1.0,2.9166666666666665
ruler_niah_multivalue_16k,500,8,0.44999999999999996,8,1.75,1.0,1.0,3.0
ruler_niah_single_1_16k,500,0,0.0,0,,,,
ruler_niah_single_2_16k,500,0,0.0,0,,,,
ruler_niah_single_3_16k,500,0,0.0,0,,,,
ruler_qa_hotpotqa_16k,500,14,2.8000000000000003,12,2.0,0.8571428571428571,1.0,2.2142857142857144
ruler_qa_squad_16k,500,17,3.4000000000000004,15,2.1176470588235294,0.8823529411764706,1.0,2.1176470588235294
ruler_vt_16k,500,77,5.16,71,2.1818181818181817,0.922077922077922,1.0,1.9350649350649352
