sample_id,expected,observed,reused,new,complete
ruler_fwe_16k:0010,588,588,45,543,True
ruler_fwe_16k:0088,588,588,45,543,True
ruler_fwe_16k:0108,588,588,45,543,True
ruler_fwe_16k:0227,588,588,45,543,True
ruler_fwe_16k:0242,588,588,44,544,True
ruler_fwe_16k:0254,546,546,44,502,True
ruler_fwe_16k:0256,588,588,45,543,True
ruler_fwe_16k:0260,588,588,45,543,True
ruler_fwe_16k:0293,546,546,45,501,True
ruler_fwe_16k:0298,588,588,45,543,True
ruler_fwe_16k:0321,546,546,44,502,True
ruler_fwe_16k:0324,588,588,45,543,True
ruler_fwe_16k:0351,588,588,45,543,True
ruler_fwe_16k:0372,588,588,46,542,True
ruler_fwe_16k:0373,588,588,45,543,True
ruler_fwe_16k:0386,588,588,45,543,True
ruler_fwe_16k:0402,546,546,44,502,True
ruler_fwe_16k:0472,546,546,44,502,True
ruler_fwe_16k:0478,588,588,46,542,True
ruler_fwe_16k:0488,588,588,46,542,True
ruler_fwe_16k:0498,588,588,47,541,True
ruler_niah_multikey_1_16k:0432,588,588,46,542,True
ruler_niah_multikey_2_16k:0045,588,588,45,543,True
ruler_niah_multikey_2_16k:0116,588,588,46,542,True
ruler_niah_multikey_2_16k:0331,588,588,46,542,True
ruler_niah_multikey_2_16k:0482,588,588,46,542,True
ruler_niah_multikey_3_16k:0071,546,546,44,502,True
ruler_niah_multikey_3_16k:0074,588,588,47,541,True
ruler_niah_multikey_3_16k:0108,588,588,46,542,True
ruler_niah_multikey_3_16k:0138,588,588,48,540,True
ruler_niah_multikey_3_16k:0145,546,546,44,502,True
ruler_niah_multikey_3_16k:0202,588,588,45,543,True
ruler_niah_multikey_3_16k:0208,588,588,45,543,True
ruler_niah_multikey_3_16k:0212,546,546,46,500,True
ruler_niah_multikey_3_16k:0217,588,588,46,542,True
ruler_niah_multikey_3_16k:0220,588,588,46,542,True
ruler_niah_multikey_3_16k:0251,588,588,45,543,True
ruler_niah_multikey_3_16k:0253,546,546,44,502,True
ruler_niah_multikey_3_16k:0362,588,588,45,543,True
ruler_niah_multikey_3_16k:0394,588,588,45,543,True
ruler_niah_multikey_3_16k:0429,546,546,47,499,True
ruler_niah_multikey_3_16k:0464,588,588,45,543,True
ruler_niah_multiquery_16k:0001,588,588,45,543,True
ruler_niah_multiquery_16k:0063,588,588,45,543,True
ruler_niah_multiquery_16k:0068,588,588,45,543,True
ruler_niah_multiquery_16k:0082,588,588,45,543,True
ruler_niah_multiquery_16k:0100,588,588,46,542,True
ruler_niah_multiquery_16k:0129,588,588,44,544,True
ruler_niah_multiquery_16k:0131,588,588,46,542,True
ruler_niah_multiquery_16k:0147,588,588,46,542,True
ruler_niah_multiquery_16k:0201,588,588,46,542,True
ruler_niah_multiquery_16k:0381,588,588,46,542,True
ruler_niah_multiquery_16k:0404,588,588,45,543,True
ruler_niah_multiquery_16k:0454,588,588,46,542,True
ruler_niah_multivalue_16k:0060,588,588,46,542,True
ruler_niah_multivalue_16k:0144,588,588,45,543,True
ruler_niah_multivalue_16k:0192,588,588,46,542,True
ruler_niah_multivalue_16k:0245,588,588,45,543,True
ruler_niah_multivalue_16k:0266,588,588,45,543,True
ruler_niah_multivalue_16k:0288,588,588,47,541,True
ruler_niah_multivalue_16k:0496,588,588,45,543,True
ruler_niah_multivalue_16k:0498,588,588,45,543,True
ruler_qa_hotpotqa_16k:0006,546,546,44,502,True
ruler_qa_hotpotqa_16k:0023,546,546,44,502,True
ruler_qa_hotpotqa_16k:0031,546,546,44,502,True
ruler_qa_hotpotqa_16k:0059,546,546,44,502,True
ruler_qa_hotpotqa_16k:0085,546,546,44,502,True
ruler_qa_hotpotqa_16k:0118,546,546,45,501,True
ruler_qa_hotpotqa_16k:0140,504,504,49,455,True
ruler_qa_hotpotqa_16k:0191,504,504,46,458,True
ruler_qa_hotpotqa_16k:0312,546,546,44,502,True
ruler_qa_hotpotqa_16k:0337,546,546,46,500,True
ruler_qa_hotpotqa_16k:0348,546,546,46,500,True
ruler_qa_hotpotqa_16k:0364,588,588,45,543,True
ruler_qa_hotpotqa_16k:0454,588,588,45,543,True
ruler_qa_hotpotqa_16k:0493,588,588,46,542,True
ruler_qa_squad_16k:0033,546,546,44,502,True
ruler_qa_squad_16k:0056,504,504,46,458,True
ruler_qa_squad_16k:0085,588,588,46,542,True
ruler_qa_squad_16k:0141,462,462,46,416,True
ruler_qa_squad_16k:0161,462,462,45,417,True
ruler_qa_squad_16k:0172,462,462,45,417,True
ruler_qa_squad_16k:0184,462,462,45,417,True
ruler_qa_squad_16k:0305,462,462,45,417,True
ruler_qa_squad_16k:0363,504,504,46,458,True
ruler_qa_squad_16k:0424,504,504,46,458,True
ruler_qa_squad_16k:0429,504,504,46,458,True
ruler_qa_squad_16k:0432,504,504,46,458,True
ruler_qa_squad_16k:0444,462,462,45,417,True
ruler_qa_squad_16k:0445,462,462,45,417,True
ruler_qa_squad_16k:0458,462,462,45,417,True
ruler_qa_squad_16k:0472,462,462,46,416,True
ruler_qa_squad_16k:0491,546,546,46,500,True
ruler_vt_16k:0008,588,588,46,542,True
ruler_vt_16k:0024,588,588,45,543,True
ruler_vt_16k:0044,588,588,45,543,True
ruler_vt_16k:0045,588,588,45,543,True
ruler_vt_16k:0048,588,588,45,543,True
ruler_vt_16k:0050,588,588,47,541,True
ruler_vt_16k:0057,588,588,44,544,True
ruler_vt_16k:0063,588,588,46,542,True
ruler_vt_16k:0065,588,588,48,540,True
ruler_vt_16k:0070,588,588,46,542,True
ruler_vt_16k:0083,588,588,46,542,True
ruler_vt_16k:0086,588,588,46,542,True
ruler_vt_16k:0091,588,588,45,543,True
ruler_vt_16k:0093,588,588,46,542,True
ruler_vt_16k:0098,588,588,45,543,True
ruler_vt_16k:0108,588,588,46,542,True
ruler_vt_16k:0113,588,588,45,543,True
ruler_vt_16k:0123,588,588,45,543,True
ruler_vt_16k:0139,588,588,45,543,True
ruler_vt_16k:0140,588,588,45,543,True
ruler_vt_16k:0149,588,588,46,542,True
ruler_vt_16k:0157,588,588,46,542,True
ruler_vt_16k:0160,588,588,45,543,True
ruler_vt_16k:0164,588,588,45,543,True
ruler_vt_16k:0165,588,588,45,543,True
ruler_vt_16k:0170,588,588,46,542,True
ruler_vt_16k:0172,588,588,45,543,True
ruler_vt_16k:0183,588,588,45,543,True
ruler_vt_16k:0188,588,588,46,542,True
ruler_vt_16k:0194,588,588,46,542,True
ruler_vt_16k:0196,588,588,45,543,True
