sample_id,task,candidate_n,first_improvement_list_index,first_final_score_list_index,first_selected_sequence_list_index,explicit_replay_index_n,parent_field_n
ruler_fwe_16k:0010,ruler_fwe_16k,385,95,95,95,0,0
ruler_fwe_16k:0088,ruler_fwe_16k,385,155,155,155,0,0
ruler_fwe_16k:0108,ruler_fwe_16k,385,190,190,190,0,0
ruler_fwe_16k:0227,ruler_fwe_16k,385,91,91,91,0,0
ruler_fwe_16k:0242,ruler_fwe_16k,385,30,30,30,0,0
ruler_fwe_16k:0254,ruler_fwe_16k,361,64,64,64,0,0
ruler_fwe_16k:0256,ruler_fwe_16k,385,144,144,144,0,0
ruler_fwe_16k:0260,ruler_fwe_16k,385,105,105,105,0,0
ruler_fwe_16k:0293,ruler_fwe_16k,361,48,48,48,0,0
ruler_fwe_16k:0298,ruler_fwe_16k,385,52,52,52,0,0
ruler_fwe_16k:0321,ruler_fwe_16k,361,248,248,248,0,0
ruler_fwe_16k:0324,ruler_fwe_16k,385,28,28,28,0,0
ruler_fwe_16k:0351,ruler_fwe_16k,385,264,264,333,0,0
ruler_fwe_16k:0372,ruler_fwe_16k,385,21,21,39,0,0
ruler_fwe_16k:0373,ruler_fwe_16k,385,28,28,28,0,0
ruler_fwe_16k:0386,ruler_fwe_16k,385,16,16,16,0,0
ruler_fwe_16k:0402,ruler_fwe_16k,361,206,206,209,0,0
ruler_fwe_16k:0472,ruler_fwe_16k,361,349,349,349,0,0
ruler_fwe_16k:0478,ruler_fwe_16k,385,32,32,32,0,0
ruler_fwe_16k:0488,ruler_fwe_16k,385,36,36,36,0,0
ruler_fwe_16k:0498,ruler_fwe_16k,385,13,13,34,0,0
ruler_niah_multikey_1_16k:0432,ruler_niah_multikey_1_16k,385,34,34,34,0,0
ruler_niah_multikey_2_16k:0045,ruler_niah_multikey_2_16k,385,67,67,67,0,0
ruler_niah_multikey_2_16k:0116,ruler_niah_multikey_2_16k,385,47,47,47,0,0
ruler_niah_multikey_2_16k:0331,ruler_niah_multikey_2_16k,385,8,8,39,0,0
ruler_niah_multikey_2_16k:0482,ruler_niah_multikey_2_16k,385,28,28,49,0,0
ruler_niah_multikey_3_16k:0071,ruler_niah_multikey_3_16k,361,66,66,66,0,0
ruler_niah_multikey_3_16k:0074,ruler_niah_multikey_3_16k,385,8,8,39,0,0
ruler_niah_multikey_3_16k:0108,ruler_niah_multikey_3_16k,385,44,44,46,0,0
ruler_niah_multikey_3_16k:0138,ruler_niah_multikey_3_16k,385,27,27,68,0,0
ruler_niah_multikey_3_16k:0145,ruler_niah_multikey_3_16k,361,74,74,78,0,0
ruler_niah_multikey_3_16k:0202,ruler_niah_multikey_3_16k,385,55,55,55,0,0
ruler_niah_multikey_3_16k:0208,ruler_niah_multikey_3_16k,385,190,190,190,0,0
