cohort,A,B,matching_samples,observed_sample_mass,native_marginal_expected,descriptive_enrichment
improved170,OFF,L0,154,3.7487698319237537,2.613220485461219,1.4345401977292844
improved170,OFF,L6,154,2.4479662798238215,1.2828012879010817,1.908297335613984
improved170,OFF,L12,154,2.5842895093717853,2.6722294137411455,0.9670911846426226
improved170,OFF,L18,154,1.4963291003188461,2.5662066449714507,0.583089870510211
improved170,OFF,L24,154,0.27561574333280175,2.031778021342345,0.13565248783954723
improved170,OFF,ALL,154,5.018506998483677,2.1891466695015613,2.292448956664161
improved170,L0,OFF,154,3.150404919905759,2.613220485461219,1.2055641448676804
improved170,L0,L6,154,4.198967308269077,2.8979205329790925,1.4489587483451434
improved170,L0,L12,154,5.470261416488404,6.036717112735149,0.9061649426885117
improved170,L0,L18,154,6.5099414716616915,5.797205692315773,1.1229447111546609
improved170,L0,L24,154,4.5377909564900705,4.589901259093247,0.9886467486637238
improved170,L0,ALL,154,5.4417888556582446,4.945405919907808,1.1003725364084351
improved170,L6,OFF,154,2.8242804562969743,1.2828012879010817,2.2016507801594583
improved170,L6,L0,154,9.229568442032818,2.8979205329790925,3.1848935597087356
improved170,L6,L12,154,3.277206961170049,2.9633582508612517,1.1059098103368306
improved170,L6,L18,154,5.191812710903616,2.8457847203113538,1.824387021916256
improved170,L6,L24,154,1.6063682105800634,2.2531322095710675,0.7129489356001308
improved170,L6,ALL,154,5.303295184878502,2.4276455502114644,2.1845426258444314
improved170,L12,OFF,154,1.1657429547296336,2.6722294137411455,0.43624359073930813
improved170,L12,L0,154,4.0183172193008625,6.036717112735149,0.6656461027176113
improved170,L12,L6,154,3.666010622031051,2.9633582508612517,1.2371135420314385
improved170,L12,L18,154,2.338080252551213,5.928111942601602,0.39440555023074125
improved170,L12,L24,154,2.230365599651164,4.6935454619902615,0.47519846515035036
improved170,L12,ALL,154,4.411448418651801,5.057077745866059,0.8723315401385648
improved170,L18,OFF,154,1.7125884917554577,2.5662066449714507,0.6673618802723155
improved170,L18,L0,154,5.097014066899359,5.797205692315773,0.8792191164883935
improved170,L18,L6,154,2.076625871124869,2.8457847203113538,0.7297199455402473
improved170,L18,L12,154,2.254084390810601,5.9281119426016025,0.38023647539647787
improved170,L18,L24,154,1.8281836686417412,4.507325415661991,0.405602768836968
improved170,L18,ALL,154,3.408295501788522,4.856434275008634,0.7018102807089802
improved170,L24,OFF,154,0.5991094345132222,2.031778021342345,0.2948695321142442
improved170,L24,L0,154,3.1018660059140832,4.589901259093247,0.6758023388343803
improved170,L24,L6,154,1.935337459774742,2.2531322095710675,0.8589542378177512
improved170,L24,L12,154,1.5677349919899257,4.693545461990262,0.33401934735391686
improved170,L24,L18,154,1.3372860545255676,4.507325415661991,0.29669170321689775
improved170,L24,ALL,154,5.896523273384464,3.845051387966444,1.5335356223946317
improved170,ALL,OFF,154,6.074015273051101,2.1891466695015613,2.7746040764066624
improved170,ALL,L0,154,4.968339310602585,4.945405919907808,1.0046373120965577
improved170,ALL,L6,154,4.78507582561664,2.4276455502114644,1.9710768012240614
improved170,ALL,L12,154,5.632787243349,5.057077745866061,1.1138423268168176
improved170,ALL,L18,154,6.200994492896516,4.856434275008634,1.2768616111633657
improved170,ALL,L24,154,5.38100921885593,3.845051387966444,1.3994635379117306
native_one_switch,OFF,L0,92,2.8323519190853013,1.7602792974077335,1.6090355225198354
native_one_switch,OFF,L6,92,1.7469326880925542,0.8043475149896158,2.171863100882592
native_one_switch,OFF,L12,92,1.0853010946856954,1.6969865192677036,0.6395460908870583
native_one_switch,OFF,L18,92,1.401091005080751,1.3411743990576563,1.0446747313885454
native_one_switch,OFF,L24,92,0.27561574333280175,2.0012307301637975,0.1377231216663573
native_one_switch,OFF,ALL,92,2.818768065159143,2.1301827737298544,1.323251741550612
native_one_switch,L0,OFF,92,2.1147933696202954,1.7602792974077335,1.2013964901675747
native_one_switch,L0,L6,92,2.689160145791378,1.3202006453527577,2.036932912627712
native_one_switch,L0,L12,92,4.213491109781296,2.7853168638446975,1.5127510856934339
native_one_switch,L0,L18,92,4.358744357514804,2.2013113413912566,1.9800671879335445
native_one_switch,L0,L24,92,2.8044142851331215,3.2846823695304446,0.8537855322473756
native_one_switch,L0,ALL,92,2.4836949859264443,3.4963353776679322,0.7103709220203805
native_one_switch,L6,OFF,92,2.281893966817462,0.8043475149896158,2.836950353289674
native_one_switch,L6,L0,92,3.598201250461126,1.3202006453527577,2.725495751821638
native_one_switch,L6,L12,92,2.398395591661005,1.272731379157507,1.8844475990280358
native_one_switch,L6,L18,92,2.8144225300250647,1.0058740733780194,2.797986949373703
native_one_switch,L6,L24,92,1.3687846767655742,1.5009130115617348,0.911968026275768
native_one_switch,L6,ALL,92,3.2335809910263764,1.597626397548931,2.023990712714385
native_one_switch,L12,OFF,92,0.8514572404439192,1.6969865192677036,0.5017466142343585
native_one_switch,L12,L0,92,2.490008267716049,2.7853168638446975,0.8939766602637013
native_one_switch,L12,L6,92,2.3010881414108977,1.2727313791575072,1.8079919919426501
native_one_switch,L12,L18,92,1.2929159852939214,2.1221607710510906,0.6092450689556144
native_one_switch,L12,L24,92,1.5077465520321163,3.1665780023534196,0.4761438217885522
native_one_switch,L12,ALL,92,2.4146431928920893,3.370620793801747,0.7163793676620015
native_one_switch,L18,OFF,92,1.4459218250887909,1.3411743990576561,1.0781012716204044
native_one_switch,L18,L0,92,3.2703197446465686,2.2013113413912566,1.485623447785303
native_one_switch,L18,L6,92,1.7956060820161002,1.0058740733780194,1.7851201552356646
native_one_switch,L18,L12,92,1.5374177241439317,2.12216077105109,0.7244586485228734
native_one_switch,L18,L24,92,1.2694535099115811,2.5026323433660567,0.507247304334027
native_one_switch,L18,ALL,92,2.013637218011353,2.6638928867443554,0.7559002195738792
native_one_switch,L24,OFF,92,0.19910943451322263,2.0012307301637975,0.09949349243549035
native_one_switch,L24,L0,92,1.8155975330076783,3.2846823695304446,0.5527467586667211
native_one_switch,L24,L6,92,1.349498112006765,1.5009130115617348,0.8991181378343712
native_one_switch,L24,L12,92,1.078270386827645,3.1665780023534196,0.3405159721397256
native_one_switch,L24,L18,92,1.0028032959048774,2.5026323433660576,0.4006994069916399
native_one_switch,L24,ALL,92,2.0024419965796514,3.9749225086336986,0.5037688136637288
native_one_switch,ALL,OFF,92,3.748307766955664,2.1301827737298544,1.759617913158008
native_one_switch,ALL,L0,92,2.901628726500699,3.4963353776679322,0.8299057192951825
native_one_switch,ALL,L6,92,3.5940906157360857,1.5976263975489313,2.2496439851332686
native_one_switch,ALL,L12,92,2.1511268789651004,3.370620793801747,0.6381990174987406
native_one_switch,ALL,L18,92,2.6547282591302843,2.6638928867443554,0.9965596861421588
native_one_switch,ALL,L24,92,2.792543734304839,3.974922508633699,0.7025404214143336
native_multi_switch,OFF,L0,62,0.9164179128384524,0.7925634484435036,1.1562707246191881
native_multi_switch,OFF,L6,62,0.701033591731266,0.4206944870397063,1.6663721853457532
native_multi_switch,OFF,L12,62,1.498988414686089,0.8650101870882483,1.7329141749554475
native_multi_switch,OFF,L18,62,0.09523809523809523,0.9834123714854757,0.09684451609474372
native_multi_switch,OFF,L24,62,0,0.281313385399338,0.0
native_multi_switch,OFF,ALL,62,2.199738933324539,0.3168932645891167,6.941576799294604
native_multi_switch,L0,OFF,62,1.0356115502854633,0.7925634484435035,1.3066607504033603
native_multi_switch,L0,L6,62,1.5098071624777023,1.704752149222973,0.8856461410920486
native_multi_switch,L0,L12,62,1.2567703067071117,3.5052229610018104,0.35854218709896857
native_multi_switch,L0,L18,62,2.151197114146889,3.985016218441899,0.5398214200964997
native_multi_switch,L0,L24,62,1.7333766713569543,1.1399474277385735,1.5205759749777454
native_multi_switch,L0,ALL,62,2.9580938697318007,1.2841253939027564,2.3035864595290527
native_multi_switch,L6,OFF,62,0.5423864894795127,0.42069448703970624,1.289264552279053
native_multi_switch,L6,L0,62,5.631367191571683,1.704752149222973,3.303334853772417
native_multi_switch,L6,L12,62,0.8788113695090438,1.86058034651288,0.4723318566468369
native_multi_switch,L6,L18,62,2.377390180878553,2.115255702435828,1.1239256691949173
native_multi_switch,L6,L24,62,0.2375835338144881,0.605086695969297,0.39264379038097946
native_multi_switch,L6,ALL,62,2.0697141938521253,0.6816166894190173,3.036478164312946
native_multi_switch,L12,OFF,62,0.3142857142857142,0.8650101870882482,0.3633318069277846
native_multi_switch,L12,L0,62,1.5283089515848138,3.5052229610018104,0.43600905522655126
native_multi_switch,L12,L6,62,1.364922480620155,1.86058034651288,0.7336003968752586
native_multi_switch,L12,L18,62,1.0451642672572903,4.349279078455824,0.24030747358441926
native_multi_switch,L12,L24,62,0.7226190476190475,1.2441478845326803,0.5808144325949431
native_multi_switch,L12,ALL,62,1.9968052257597166,1.4015048882282313,1.4247579459277222
native_multi_switch,L18,OFF,62,0.26666666666666666,0.9834123714854756,0.27116464506528243
native_multi_switch,L18,L0,62,1.826694322252793,3.9850162184419,0.45839068704393165
native_multi_switch,L18,L6,62,0.28101978910876785,2.115255702435828,0.13285381468782181
native_multi_switch,L18,L12,62,0.7166666666666666,4.349279078455824,0.16477826640665083
native_multi_switch,L18,L24,62,0.5587301587301587,1.4144462572463306,0.3950168879642728
native_multi_switch,L18,ALL,62,1.394658283777169,1.59334221302113,0.8753036682137246
native_multi_switch,L24,OFF,62,0.39999999999999997,0.281313385399338,1.4219017677817947
native_multi_switch,L24,L0,62,1.2862684729064038,1.1399474277385735,1.1283577133535903
native_multi_switch,L24,L6,62,0.5858393477679765,0.6050866959692971,0.968190759556384
native_multi_switch,L24,L12,62,0.4894646051622795,1.2441478845326803,0.39341352523066775
native_multi_switch,L24,L18,62,0.3344827586206897,1.4144462572463306,0.23647611700133928
native_multi_switch,L24,ALL,62,3.894081276804813,0.45578894982537577,8.543606154332469
native_multi_switch,ALL,OFF,62,2.325707506095437,0.3168932645891167,7.339087844328107
native_multi_switch,ALL,L0,62,2.0667105841018882,1.2841253939027566,1.609430507265862
native_multi_switch,ALL,L6,62,1.1909852098805587,0.6816166894190173,1.7472946721649474
native_multi_switch,ALL,L12,62,3.4816603643839006,1.4015048882282313,2.484229911452811
native_multi_switch,ALL,L18,62,3.546266233766234,1.5933422130211303,2.2256777011149236
native_multi_switch,ALL,L24,62,2.58846548455109,0.45578894982537577,5.67908784436919
multi_matched,OFF,L0,62,0.9164179128384524,0.7925634484435036,1.1562707246191881
multi_matched,OFF,L6,62,0.701033591731266,0.4206944870397063,1.6663721853457532
multi_matched,OFF,L12,62,1.498988414686089,0.8650101870882483,1.7329141749554475
multi_matched,OFF,L18,62,0.09523809523809523,0.9834123714854757,0.09684451609474372
multi_matched,OFF,L24,62,0,0.281313385399338,0.0
multi_matched,OFF,ALL,62,2.199738933324539,0.3168932645891167,6.941576799294604
multi_matched,L0,OFF,62,1.0356115502854633,0.7925634484435035,1.3066607504033603
multi_matched,L0,L6,62,1.5098071624777023,1.704752149222973,0.8856461410920486
multi_matched,L0,L12,62,1.2567703067071117,3.5052229610018104,0.35854218709896857
multi_matched,L0,L18,62,2.151197114146889,3.985016218441899,0.5398214200964997
multi_matched,L0,L24,62,1.7333766713569543,1.1399474277385735,1.5205759749777454
multi_matched,L0,ALL,62,2.9580938697318007,1.2841253939027564,2.3035864595290527
multi_matched,L6,OFF,62,0.5423864894795127,0.42069448703970624,1.289264552279053
multi_matched,L6,L0,62,5.631367191571683,1.704752149222973,3.303334853772417
multi_matched,L6,L12,62,0.8788113695090438,1.86058034651288,0.4723318566468369
