experiment	sample_id	task	sample_best	native	condition	native_minus_condition
reverse	ruler_fwe_16k:0010	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0088	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0108	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0227	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0242	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0254	ruler_fwe_16k	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333
reverse	ruler_fwe_16k:0256	ruler_fwe_16k	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333
reverse	ruler_fwe_16k:0260	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0293	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0298	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0321	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0324	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0351	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0372	ruler_fwe_16k	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333
reverse	ruler_fwe_16k:0373	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0386	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0402	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0472	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0478	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0488	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_fwe_16k:0498	ruler_fwe_16k	0.6666666666666666	1.0	0.6666666666666666	0.33333333333333337
reverse	ruler_niah_multikey_1_16k:0432	ruler_niah_multikey_1_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_2_16k:0045	ruler_niah_multikey_2_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_2_16k:0116	ruler_niah_multikey_2_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_2_16k:0331	ruler_niah_multikey_2_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_2_16k:0482	ruler_niah_multikey_2_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0071	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0074	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0108	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0138	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0145	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0202	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0208	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0212	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0217	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0220	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
reverse	ruler_niah_multikey_3_16k:0251	ruler_niah_multikey_3_16k	0.0	1.0	0.0	1.0
