sample_id,task,action,score,prediction_hash,input_token_sha256,source
ruler_cwe_16k:0000,ruler_cwe_16k,OFF,0.0,44effbf35a6209e3f658faf4d7d07fa7925f4505093fb7f3529cdb81e4ff1489,5d46c3d2704add8363fe030fd5878a1d0df8bb4ba82310b28666b48859f8bc7a,new_missing_v2
ruler_cwe_16k:0000,ruler_cwe_16k,L0,0.0,44effbf35a6209e3f658faf4d7d07fa7925f4505093fb7f3529cdb81e4ff1489,5d46c3d2704add8363fe030fd5878a1d0df8bb4ba82310b28666b48859f8bc7a,new_missing_v2
ruler_cwe_16k:0000,ruler_cwe_16k,L6,0.0,44effbf35a6209e3f658faf4d7d07fa7925f4505093fb7f3529cdb81e4ff1489,5d46c3d2704add8363fe030fd5878a1d0df8bb4ba82310b28666b48859f8bc7a,new_missing_v2
ruler_cwe_16k:0000,ruler_cwe_16k,L12,0.0,44effbf35a6209e3f658faf4d7d07fa7925f4505093fb7f3529cdb81e4ff1489,5d46c3d2704add8363fe030fd5878a1d0df8bb4ba82310b28666b48859f8bc7a,new_missing_v2
ruler_cwe_16k:0000,ruler_cwe_16k,L18,0.0,44effbf35a6209e3f658faf4d7d07fa7925f4505093fb7f3529cdb81e4ff1489,5d46c3d2704add8363fe030fd5878a1d0df8bb4ba82310b28666b48859f8bc7a,new_missing_v2
ruler_cwe_16k:0000,ruler_cwe_16k,L24,0.0,44effbf35a6209e3f658faf4d7d07fa7925f4505093fb7f3529cdb81e4ff1489,5d46c3d2704add8363fe030fd5878a1d0df8bb4ba82310b28666b48859f8bc7a,new_missing_v2
ruler_cwe_16k:0000,ruler_cwe_16k,ALL,0.0,44effbf35a6209e3f658faf4d7d07fa7925f4505093fb7f3529cdb81e4ff1489,5d46c3d2704add8363fe030fd5878a1d0df8bb4ba82310b28666b48859f8bc7a,new_missing_v2
ruler_cwe_16k:0001,ruler_cwe_16k,OFF,0.0,f57611d137d3e54c64302316c42bebff437e3000f3031c03fefac1c56cf159d1,750e891a1557568d4da533de50402cbf18fc9b3d9d6f1a433bc3bde88292ad94,new_missing_v2
ruler_cwe_16k:0001,ruler_cwe_16k,L0,0.0,f57611d137d3e54c64302316c42bebff437e3000f3031c03fefac1c56cf159d1,750e891a1557568d4da533de50402cbf18fc9b3d9d6f1a433bc3bde88292ad94,new_missing_v2
ruler_cwe_16k:0001,ruler_cwe_16k,L6,0.0,f57611d137d3e54c64302316c42bebff437e3000f3031c03fefac1c56cf159d1,750e891a1557568d4da533de50402cbf18fc9b3d9d6f1a433bc3bde88292ad94,new_missing_v2
ruler_cwe_16k:0001,ruler_cwe_16k,L12,0.0,f57611d137d3e54c64302316c42bebff437e3000f3031c03fefac1c56cf159d1,750e891a1557568d4da533de50402cbf18fc9b3d9d6f1a433bc3bde88292ad94,new_missing_v2
ruler_cwe_16k:0001,ruler_cwe_16k,L18,0.0,f57611d137d3e54c64302316c42bebff437e3000f3031c03fefac1c56cf159d1,750e891a1557568d4da533de50402cbf18fc9b3d9d6f1a433bc3bde88292ad94,new_missing_v2
ruler_cwe_16k:0001,ruler_cwe_16k,L24,0.0,f57611d137d3e54c64302316c42bebff437e3000f3031c03fefac1c56cf159d1,750e891a1557568d4da533de50402cbf18fc9b3d9d6f1a433bc3bde88292ad94,new_missing_v2
ruler_cwe_16k:0001,ruler_cwe_16k,ALL,0.0,f57611d137d3e54c64302316c42bebff437e3000f3031c03fefac1c56cf159d1,750e891a1557568d4da533de50402cbf18fc9b3d9d6f1a433bc3bde88292ad94,new_missing_v2
ruler_cwe_16k:0002,ruler_cwe_16k,OFF,0.1,7708d21afe11623a33f8b778fa464b056f8f5e99b0b882cb28e07a1ae2e959fd,dec1d831e1cf19c0308c4668542b40507f6cd7f852bc89aa7ff18f1a33a9aeb2,new_missing_v2
ruler_cwe_16k:0002,ruler_cwe_16k,L0,0.1,7708d21afe11623a33f8b778fa464b056f8f5e99b0b882cb28e07a1ae2e959fd,dec1d831e1cf19c0308c4668542b40507f6cd7f852bc89aa7ff18f1a33a9aeb2,new_missing_v2
ruler_cwe_16k:0002,ruler_cwe_16k,L6,0.1,7708d21afe11623a33f8b778fa464b056f8f5e99b0b882cb28e07a1ae2e959fd,dec1d831e1cf19c0308c4668542b40507f6cd7f852bc89aa7ff18f1a33a9aeb2,new_missing_v2
ruler_cwe_16k:0002,ruler_cwe_16k,L12,0.1,7708d21afe11623a33f8b778fa464b056f8f5e99b0b882cb28e07a1ae2e959fd,dec1d831e1cf19c0308c4668542b40507f6cd7f852bc89aa7ff18f1a33a9aeb2,new_missing_v2
ruler_cwe_16k:0002,ruler_cwe_16k,L18,0.1,7708d21afe11623a33f8b778fa464b056f8f5e99b0b882cb28e07a1ae2e959fd,dec1d831e1cf19c0308c4668542b40507f6cd7f852bc89aa7ff18f1a33a9aeb2,new_missing_v2
ruler_cwe_16k:0002,ruler_cwe_16k,L24,0.1,7708d21afe11623a33f8b778fa464b056f8f5e99b0b882cb28e07a1ae2e959fd,dec1d831e1cf19c0308c4668542b40507f6cd7f852bc89aa7ff18f1a33a9aeb2,new_missing_v2
ruler_cwe_16k:0002,ruler_cwe_16k,ALL,0.1,7708d21afe11623a33f8b778fa464b056f8f5e99b0b882cb28e07a1ae2e959fd,dec1d831e1cf19c0308c4668542b40507f6cd7f852bc89aa7ff18f1a33a9aeb2,new_missing_v2
ruler_cwe_16k:0003,ruler_cwe_16k,OFF,0.1,d5fa78f38e6ed97274f22f6976536320f5caae4dbc957bf4992b84f6a33093ed,065f34d6aa3be5222790214ec28acaab8148e1940177389ccfcf92d014a55e35,new_missing_v2
ruler_cwe_16k:0003,ruler_cwe_16k,L0,0.1,d5fa78f38e6ed97274f22f6976536320f5caae4dbc957bf4992b84f6a33093ed,065f34d6aa3be5222790214ec28acaab8148e1940177389ccfcf92d014a55e35,new_missing_v2
ruler_cwe_16k:0003,ruler_cwe_16k,L6,0.1,d5fa78f38e6ed97274f22f6976536320f5caae4dbc957bf4992b84f6a33093ed,065f34d6aa3be5222790214ec28acaab8148e1940177389ccfcf92d014a55e35,new_missing_v2
ruler_cwe_16k:0003,ruler_cwe_16k,L12,0.1,d5fa78f38e6ed97274f22f6976536320f5caae4dbc957bf4992b84f6a33093ed,065f34d6aa3be5222790214ec28acaab8148e1940177389ccfcf92d014a55e35,new_missing_v2
ruler_cwe_16k:0003,ruler_cwe_16k,L18,0.1,d5fa78f38e6ed97274f22f6976536320f5caae4dbc957bf4992b84f6a33093ed,065f34d6aa3be5222790214ec28acaab8148e1940177389ccfcf92d014a55e35,new_missing_v2
ruler_cwe_16k:0003,ruler_cwe_16k,L24,0.1,d5fa78f38e6ed97274f22f6976536320f5caae4dbc957bf4992b84f6a33093ed,065f34d6aa3be5222790214ec28acaab8148e1940177389ccfcf92d014a55e35,new_missing_v2
ruler_cwe_16k:0003,ruler_cwe_16k,ALL,0.1,d5fa78f38e6ed97274f22f6976536320f5caae4dbc957bf4992b84f6a33093ed,065f34d6aa3be5222790214ec28acaab8148e1940177389ccfcf92d014a55e35,new_missing_v2
