sample_id	task	num_decision_chunks	sample_best_score	dynamic_score	dynamic_gain	dynamic_winner_trajectory	dynamic_prediction_hash
ruler_fwe_16k:0010	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L18"", ""L0"", ""L12"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"	7a99e74d582ba3b4d02ad664e0cc9db6cfaed8293ab93b2b2ea6b483bfe21768
ruler_fwe_16k:0088	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""OFF"", ""L6"", ""OFF"", ""L6"", ""L6"", ""L18"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]"	5ec45171daa6d5010c5d6b5177039cf487c5e0653dbe2a7b38f94a6d7495c58f
ruler_fwe_16k:0108	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L18"", ""L0"", ""L18"", ""L18"", ""ALL"", ""L18"", ""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"	3a04e94e95db6830903af531e53417c43f80f45179e524cbc26f63e5ad0aabb0
ruler_fwe_16k:0227	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L24"", ""L18"", ""ALL"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]"	dc738308131a0196a3cc1a3de4716b91f0a51d2683c754ffeea789e473e0cb05
ruler_fwe_16k:0242	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L24"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"	b8cb83351f59222dffcd3d7ce2501e03d149fae7c9976371d17f7373d0586317
ruler_fwe_16k:0254	ruler_fwe_16k	14	0.3333333333333333	0.6666666666666666	0.3333333333333333	"[""ALL"", ""L6"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]"	1fe15c6ae20d7cfed0c9fae99e2d6e8490b86ccd95740a65b63cf1da82392e16
ruler_fwe_16k:0256	ruler_fwe_16k	15	0.3333333333333333	0.6666666666666666	0.3333333333333333	"[""L18"", ""L0"", ""L18"", ""L18"", ""L24"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"	67790b04fc769046a08f9ea52592f25f7c6a0d022f083c409800787f6b5ea641
ruler_fwe_16k:0260	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L6"", ""L12"", ""L12"", ""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"	95a95a1a5a37a72a8f7777c9f9011e3d554c973c582773ae3601462d2cf6e666
ruler_fwe_16k:0293	ruler_fwe_16k	14	0.6666666666666666	1.0	0.33333333333333337	"[""L18"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]"	b6bfbaba0d4d5a6a0211543dffe797202a108fd8b35e96e32c894c2910a9379c
ruler_fwe_16k:0298	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""OFF"", ""L12"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]"	e39b7b960cf1630bf38d09d533816cd3a6f5dc05ac14a712a4bf603ae0878183
ruler_fwe_16k:0321	ruler_fwe_16k	14	0.6666666666666666	1.0	0.33333333333333337	"[""L18"", ""L6"", ""OFF"", ""ALL"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""OFF"", ""L24"", ""L24"", ""L24"", ""L24""]"	e9b6fe1afd988546d4fd3fb515fe61b79fb517f5cc130d44922f5e9e7af75a26
ruler_fwe_16k:0324	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"	9365edf472c6948b7ae86ca239cda9d4659112c12336eaeee6c08b99330942e1
ruler_fwe_16k:0351	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L6"", ""L12"", ""L12"", ""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L0"", ""L12"", ""L12""]"	2563a7654d65d578919b4c0cea656cb4df5db894e1f0f90ce0cafe92a6112967
ruler_fwe_16k:0372	ruler_fwe_16k	15	0.3333333333333333	0.6666666666666666	0.3333333333333333	"[""L0"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]"	39768e65e5d14adbeca53b56d860b7ea2e5c34f1af1462f4c924c537ec225199
ruler_fwe_16k:0373	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"	499894d4e6f5879e00d5fc3954d5f5a084c65b7d19a001a9e4f8b33912ea98ec
ruler_fwe_16k:0386	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L12"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]"	d330173bb94b560d27af16ce16cda3e6360b6288094e163250e335ab903e662a
ruler_fwe_16k:0402	ruler_fwe_16k	14	0.6666666666666666	1.0	0.33333333333333337	"[""L12"", ""L24"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L18"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"	59ecf68740ec1ca28077d8c29c58d2e60835638a6b8d3be5d9de49d65be38317
ruler_fwe_16k:0472	ruler_fwe_16k	14	0.6666666666666666	1.0	0.33333333333333337	"[""L18"", ""L6"", ""OFF"", ""ALL"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""ALL""]"	e3d956ebccaa2d0cf30865f535d85f489feef4e5e5f47a756be946237ab200c1
ruler_fwe_16k:0478	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""OFF"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"	58ca1c0c02a858020ea022bfe89b2e911c85173dda14c1b8bb43417aaa0b129c
ruler_fwe_16k:0488	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L24"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"	d281995a9b5f2a5270a82369cc4b61db2338453233e55ae4a064c07f3bef82d6
ruler_fwe_16k:0498	ruler_fwe_16k	15	0.6666666666666666	1.0	0.33333333333333337	"[""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"	eb5c4da6473d38cf1d20128dcd57e511eb084b65a9e72e276419f46016367b60
ruler_niah_multikey_1_16k:0432	ruler_niah_multikey_1_16k	15	0.0	1.0	1.0	"[""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"	d21f705bb2f4b9c05adfbbaeb9a50260f49cd9e4dfc8239c36168a87ab470381
