pair	phase	site_n	all_five_present	all_exact
V2_Z_ALL_177bea3115c3.json	full_chunk	70	True	True
V2_Z_ALL_177bea3115c3.json	tail	5	True	True
V2_Z_ALL_177bea3115c3.json	generation	20	True	True
V2_Z_ALL_1e44c98a1050.json	full_chunk	75	True	True
V2_Z_ALL_1e44c98a1050.json	tail	5	True	True
V2_Z_ALL_1e44c98a1050.json	generation	70	True	True
V2_Z_ALL_25c4622acc00.json	full_chunk	75	True	True
V2_Z_ALL_25c4622acc00.json	tail	5	True	True
V2_Z_ALL_25c4622acc00.json	generation	10	True	True
V2_Z_ALL_2d12e69b984d.json	full_chunk	75	True	True
V2_Z_ALL_2d12e69b984d.json	tail	5	True	True
V2_Z_ALL_2d12e69b984d.json	generation	70	True	True
V2_Z_ALL_42b57de524da.json	full_chunk	70	True	True
V2_Z_ALL_42b57de524da.json	tail	5	True	True
V2_Z_ALL_42b57de524da.json	generation	245	True	True
V2_Z_ALL_44c987a31f6c.json	full_chunk	75	True	True
V2_Z_ALL_44c987a31f6c.json	tail	5	True	True
V2_Z_ALL_44c987a31f6c.json	generation	175	True	True
V2_Z_ALL_493f8c7797fd.json	full_chunk	75	True	True
V2_Z_ALL_493f8c7797fd.json	tail	5	True	True
V2_Z_ALL_493f8c7797fd.json	generation	65	True	True
V2_Z_ALL_4e84444efa0a.json	full_chunk	75	True	True
V2_Z_ALL_4e84444efa0a.json	tail	5	True	True
V2_Z_ALL_4e84444efa0a.json	generation	65	True	True
V2_Z_ALL_5550d17ac96c.json	full_chunk	75	True	True
V2_Z_ALL_5550d17ac96c.json	tail	5	True	True
V2_Z_ALL_5550d17ac96c.json	generation	245	True	True
V2_Z_ALL_60d9d5a968fb.json	full_chunk	75	True	True
V2_Z_ALL_60d9d5a968fb.json	tail	5	True	True
V2_Z_ALL_60d9d5a968fb.json	generation	75	True	True
V2_Z_ALL_6a50e2cd300d.json	full_chunk	70	True	True
V2_Z_ALL_6a50e2cd300d.json	tail	5	True	True
V2_Z_ALL_6a50e2cd300d.json	generation	25	True	True
V2_Z_ALL_6ebac043b103.json	full_chunk	75	True	True
V2_Z_ALL_6ebac043b103.json	tail	5	True	True
V2_Z_ALL_6ebac043b103.json	generation	170	True	True
V2_Z_ALL_8341aa98d760.json	full_chunk	70	True	True
V2_Z_ALL_8341aa98d760.json	tail	5	True	True
V2_Z_ALL_8341aa98d760.json	generation	245	True	True
V2_Z_ALL_8d6e906d2bd7.json	full_chunk	75	True	True
V2_Z_ALL_8d6e906d2bd7.json	tail	5	True	True
V2_Z_ALL_8d6e906d2bd7.json	generation	245	True	True
V2_Z_ALL_8f6d8c27c648.json	full_chunk	75	True	True
V2_Z_ALL_8f6d8c27c648.json	tail	5	True	True
V2_Z_ALL_8f6d8c27c648.json	generation	70	True	True
V2_Z_ALL_92ec05d93b2b.json	full_chunk	75	True	True
V2_Z_ALL_92ec05d93b2b.json	tail	5	True	True
V2_Z_ALL_92ec05d93b2b.json	generation	175	True	True
V2_Z_ALL_95bda1229077.json	full_chunk	75	True	True
V2_Z_ALL_95bda1229077.json	tail	5	True	True
V2_Z_ALL_95bda1229077.json	generation	5	True	True
V2_Z_ALL_9fa741130981.json	full_chunk	70	True	True
V2_Z_ALL_9fa741130981.json	tail	5	True	True
V2_Z_ALL_9fa741130981.json	generation	20	True	True
V2_Z_ALL_a5b90521bf4b.json	full_chunk	70	True	True
V2_Z_ALL_a5b90521bf4b.json	tail	5	True	True
V2_Z_ALL_a5b90521bf4b.json	generation	245	True	True
V2_Z_ALL_b50163d52852.json	full_chunk	75	True	True
V2_Z_ALL_b50163d52852.json	tail	5	True	True
V2_Z_ALL_b50163d52852.json	generation	65	True	True
V2_Z_ALL_c453e1c754dc.json	full_chunk	75	True	True
V2_Z_ALL_c453e1c754dc.json	tail	5	True	True
V2_Z_ALL_c453e1c754dc.json	generation	80	True	True
V2_Z_ALL_cf205c9a3179.json	full_chunk	75	True	True
V2_Z_ALL_cf205c9a3179.json	tail	5	True	True
V2_Z_ALL_cf205c9a3179.json	generation	65	True	True
V2_Z_ALL_d3d3a8db9f2a.json	full_chunk	70	True	True
V2_Z_ALL_d3d3a8db9f2a.json	tail	5	True	True
V2_Z_ALL_d3d3a8db9f2a.json	generation	245	True	True
V2_Z_ALL_d52f7fec2801.json	full_chunk	75	True	True
V2_Z_ALL_d52f7fec2801.json	tail	5	True	True
V2_Z_ALL_d52f7fec2801.json	generation	65	True	True
