task	N	OFF	L0	L6	L12	L18	L24	ALL	SampleBest
ruler_cwe_16k	500	4.94	5.0	5.0200000000000005	5.0200000000000005	5.040000000000001	4.96	5.0	5.239999999999999
ruler_fwe_16k	500	77.0	77.06666666666665	77.39999999999999	77.0	76.93333333333332	77.06666666666665	77.06666666666665	78.46666666666665
ruler_niah_multikey_1_16k	500	98.6	98.6	98.4	98.6	98.8	98.6	98.2	98.8
ruler_niah_multikey_2_16k	500	95.19999999999999	95.19999999999999	95.19999999999999	95.19999999999999	95.19999999999999	95.19999999999999	95.19999999999999	95.39999999999999
ruler_niah_multikey_3_16k	500	71.39999999999999	70.8	70.39999999999999	70.6	71.0	71.8	71.0	73.6
ruler_niah_multiquery_16k	500	96.3	96.55	97.1	96.8	96.55	96.3	96.75	97.7
ruler_niah_multivalue_16k	500	98.35000000000001	98.35000000000001	98.25	98.45	98.1	98.35000000000001	98.45	98.85000000000001
ruler_niah_single_1_16k	500	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ruler_niah_single_2_16k	500	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ruler_niah_single_3_16k	500	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ruler_qa_hotpotqa_16k	500	42.0	41.8	42.4	42.199999999999996	42.4	42.199999999999996	41.6	44.4
ruler_qa_squad_16k	500	50.8	51.4	51.4	50.4	50.8	50.6	50.4	52.6
ruler_vt_16k	500	70.12	68.80000000000001	69.80000000000001	69.56	70.08000000000003	70.12	69.88000000000001	73.84
