metric	value	scope	weighting	source
R2_DYNAMIC_IMPROVED_N	170	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
R2_CANDIDATE_N	97356	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
R2_REUSED_N	7733	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
R2_NATIVE_ONE_SWITCH_N	92	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
R2_NATIVE_MULTI_SWITCH_N	78	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
R2_MATCH_ALL_N	154	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
R2_MATCH_MULTI_N	62	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
R2_UNMATCHED_MULTI_N	16	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
R2_MEAN_PER_SAMPLE_RECOVERY	0.9058823529411765	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
R2_MEAN_RECOVERY_CI	[0.8588235294117647, 0.9470588235294117]	170 improved (outcome-conditioned)	see R2_STATISTICAL_DEFINITIONS.json	/home/zonghan/ttt/audits/latest_dynamic_mechanism_cpu_20260923
