task	N	sample_best	sequential_score	full_task_gain_pp	dynamic_measured	searched_n	improved_n	searched_sb	searched_dynamic	searched_gain_pp
ruler_cwe_16k	500	5.239999999999999	5.239999999999999	0_BY_FALLBACK	NO	NA	NA	NA	NA	NA
ruler_fwe_16k	500	78.46666666666665	79.86666666666666	1.4000000000000001	YES	311	21	65.38049303322614	67.63129689174706	2.250803858520901
ruler_niah_multikey_1_16k	500	98.8	99.0	0.2	YES	6	1	0.0	16.666666666666664	16.666666666666664
ruler_niah_multikey_2_16k	500	95.39999999999999	96.2	0.8	YES	23	4	0.0	17.391304347826086	17.391304347826086
ruler_niah_multikey_3_16k	500	73.6	76.8	3.2	YES	132	16	0.0	12.121212121212121	12.121212121212121
ruler_niah_multiquery_16k	500	97.7	98.35000000000001	0.65	YES	44	12	73.86363636363636	81.25	7.386363636363637
ruler_niah_multivalue_16k	500	98.85000000000001	99.3	0.44999999999999996	YES	21	8	72.61904761904762	83.33333333333334	10.714285714285714
ruler_niah_single_1_16k	500	100.0	100.0	0.0	NO	0	0	NA	NA	NA
ruler_niah_single_2_16k	500	100.0	100.0	0.0	NO	0	0	NA	NA	NA
ruler_niah_single_3_16k	500	100.0	100.0	0.0	NO	0	0	NA	NA	NA
ruler_qa_hotpotqa_16k	500	44.4	47.199999999999996	2.8000000000000003	YES	278	14	0.0	5.0359712230215825	5.0359712230215825
ruler_qa_squad_16k	500	52.6	56.00000000000001	3.4000000000000004	YES	237	17	0.0	7.172995780590717	7.172995780590717
ruler_vt_16k	500	73.84	79.0	5.159999999999999	YES	381	77	65.66929133858268	72.44094488188976	6.771653543307088
