task,population,searched,improved,off_mean,fixed_oracle_mean,dynamic_mean,gain_percentage_points
ruler_fwe_16k,500,61,8,0.9526666666666673,0.9566666666666672,0.9626666666666672,0.6000000000000002
ruler_niah_multikey_1_16k,500,20,3,0.956,0.96,0.966,0.6
ruler_niah_multikey_2_16k,500,11,2,0.974,0.978,0.982,0.4
ruler_niah_multikey_3_16k,500,88,10,0.8,0.824,0.844,2.0
ruler_niah_multiquery_16k,500,42,11,0.9715,0.979,0.9845,0.55
ruler_niah_multivalue_16k,500,57,16,0.959,0.967,0.9765,0.95
ruler_niah_single_1_16k,500,0,0,1.0,1.0,1.0,0.0
ruler_niah_single_2_16k,500,1,1,0.996,0.998,1.0,0.2
ruler_niah_single_3_16k,500,0,0,1.0,1.0,1.0,0.0
ruler_qa_hotpotqa_16k,500,287,8,0.41,0.426,0.442,1.6
ruler_qa_squad_16k,500,240,14,0.504,0.52,0.548,2.8
ruler_vt_16k,500,471,12,0.7520000000000062,0.7584000000000061,0.7632000000000061,0.48000000000000004
