update_step,stage,cumulative_tokens,global_mean_loss,global_valid_tokens,global_answer_positions,global_context_positions,grad_norm_before_clip,grad_norm_after_clip,learning_rate,iteration_seconds_excluding_checkpoint,checkpoint_seconds,logged_at_unix
1,1,65536,2.040004878192999,65534,0,65534,41.75,1.0,5e-06,30.71782665885985,0.0,1789109902.8661842
2,1,115086,0.6283944356987164,49548,0,49548,14.125,1.0,5e-06,29.27165584312752,0.0,1789109932.1382806
3,1,164587,0.6439000819460999,49499,0,49499,18.375,1.0,5e-06,29.57224534684792,0.0,1789109961.7110233
4,1,230123,0.7335475430692465,65534,0,65534,16.125,1.0,5e-06,29.81850163312629,0.0,1789109991.530029
5,1,286544,0.562512220229444,56419,0,56419,17.5,1.0,5e-06,30.070235481951386,0.0,1789110021.6007564
6,1,337591,0.5651333611886571,51045,0,51045,10.75,1.0,5e-06,29.94407049100846,0.0,1789110051.5453568
7,1,388448,0.9989621611075608,50855,0,50855,13.5,1.0,5e-06,30.13636522460729,0.0,1789110081.6822278
8,1,453984,0.7187519670133061,65534,0,65534,80.0,1.0,5e-06,30.210625124629587,0.0,1789110111.89334
9,1,509641,0.7856301868093613,55655,0,55655,25.875,1.0,5e-06,30.3052661200054,0.0,1789110142.1990864
10,1,575177,0.2548529943664739,65534,0,65534,11.875,1.0,5e-06,30.45531835500151,0.0,1789110172.654876
11,1,625301,0.5184349113943229,50122,0,50122,53.75,1.0,5e-06,30.108295541256666,0.0,1789110202.7636378
12,1,690031,0.5987655947049577,64728,0,64728,44.25,1.0,5e-06,30.071506188251078,0.0,1789110232.8356164
13,1,740433,0.4490512230282738,50400,0,50400,20.125,1.0,5e-06,30.008660334162414,0.0,1789110262.8447073
14,1,790794,0.5464661969248297,50359,0,50359,8.125,1.0,5e-06,29.846164345741272,0.0,1789110292.6914282
15,1,841319,1.2090642040506303,50523,0,50523,16.375,1.0,5e-06,30.033188971225172,0.0,1789110322.7251492
16,1,906855,0.5711741114345226,65534,0,65534,11.8125,1.0,5e-06,30.146207944955677,0.0,1789110352.8718116
17,1,957579,0.3376292912376533,50722,0,50722,32.75,1.0,5e-06,30.069984011817724,0.0,1789110382.9422686
18,1,1020039,0.2599487011521743,62458,0,62458,14.4375,1.0,5e-06,30.261632966343313,0.0,1789110413.2043154
19,1,1070825,0.37897741922283595,50784,0,50784,35.5,1.0,5e-06,29.926890975795686,0.0,1789110443.1316845
20,1,1120833,0.6502490013698357,50006,0,50006,8.5,1.0,5e-06,30.12379854777828,0.0,1789110473.255931
21,1,1186368,0.7596407475527597,65533,0,65533,13.6875,1.0,5e-06,30.2645145887509,0.0,1789110503.5208604
22,1,1236384,0.10228999649629354,50014,0,50014,6.40625,1.0,5e-06,30.08747466560453,0.0,1789110533.6088476
23,1,1290012,0.515933535639924,53626,0,53626,11.375,1.0,5e-06,30.143461083993316,0.0,1789110563.7527347
24,1,1339420,0.6239803276993179,49406,0,49406,10.3125,1.0,5e-06,29.79997724480927,0.0,1789110593.553117
25,1,1388804,0.4678235985056549,49382,0,49382,11.6875,1.0,5e-06,30.049448541365564,188.50568609777838,1789110812.109076
26,1,1454338,0.4446896232470396,65532,0,65532,8.3125,1.0,5e-06,29.339212261140347,0.0,1789110841.449641
27,1,1505368,0.4392539103072088,51028,0,51028,8.6875,1.0,5e-06,29.61483378894627,0.0,1789110871.0650542
28,1,1555789,0.5544441292902973,50419,0,50419,9.6875,1.0,5e-06,30.042416266631335,0.0,1789110901.1080422
29,1,1606566,0.7099590718857706,50775,0,50775,9.6875,1.0,5e-06,29.757883511018008,0.0,1789110930.8664958
30,1,1656069,0.6509019388497203,49501,0,49501,16.125,1.0,5e-06,29.998704467900097,0.0,1789110960.865764
31,1,1721605,0.2093116070355655,65534,0,65534,26.25,1.0,5e-06,30.152632602956146,0.0,1789110991.0189836
32,1,1770889,0.3900827900368035,49282,0,49282,10.6875,1.0,5e-06,30.097711076028645,0.0,1789111021.1172934
33,1,1835470,0.21028451011793695,64579,0,64579,7.6875,1.0,5e-06,30.139691000338644,0.0,1789111051.257526
