task,N,OFF,BEST_SINGLE,SAMPLE_BEST,DYNAMIC,SB_MINUS_OFF_PP,DYN_MINUS_SB_PP,DYN_MINUS_OFF_PP,CEILING_N,NONCEILING_N,IMPROVED_N,ALL_CEILING,DYNAMIC_EQUALS_SAMPLE_BEST_BY_CONSTRUCTION,ACTUALLY_SEARCHED,BEST_SINGLE_ACTION_GLOBAL
ruler_fwe_16k,500,0.7693333333333333,0.774,0.7826666666666666,0.7986666666666666,1.3333333333333308,1.6000000000000014,2.9333333333333322,188,312,24,false,false,true,L24
ruler_niah_single_1_16k,500,1.0,1.0,1.0,1.0,0.0,0.0,0.0,500,0,0,true,true,false,L24
ruler_niah_single_2_16k,500,1.0,1.0,1.0,1.0,0.0,0.0,0.0,500,0,0,true,true,false,L24
ruler_niah_single_3_16k,500,1.0,1.0,1.0,1.0,0.0,0.0,0.0,500,0,0,true,true,false,L24
ruler_niah_multikey_1_16k,500,0.986,0.986,0.988,0.99,0.20000000000000018,0.20000000000000018,0.40000000000000036,494,6,1,false,false,true,L24
ruler_niah_multikey_2_16k,500,0.952,0.952,0.954,0.962,0.20000000000000018,0.8000000000000007,1.0000000000000009,477,23,4,false,false,true,L24
ruler_niah_multikey_3_16k,500,0.71,0.714,0.736,0.764,2.6000000000000023,2.8000000000000025,5.400000000000005,368,132,14,false,false,true,L24
ruler_niah_multivalue_16k,500,0.9835,0.9835,0.9885,0.993,0.5000000000000004,0.44999999999999485,0.9499999999999953,479,21,8,false,false,true,L24
ruler_niah_multiquery_16k,500,0.963,0.963,0.977,0.9835,1.4000000000000012,0.6500000000000061,2.0500000000000074,456,44,12,false,false,true,L24
ruler_qa_squad_16k,500,0.506,0.508,0.528,0.558,2.200000000000002,3.0000000000000027,5.200000000000005,264,236,15,false,false,true,L24
ruler_qa_hotpotqa_16k,500,0.418,0.42,0.44,0.476,2.200000000000002,3.599999999999998,5.8,220,280,18,false,false,true,L24
ruler_vt_16k,500,0.7012,0.7012,0.7384000000000001,0.79,3.720000000000001,5.159999999999998,8.879999999999999,119,381,77,false,false,true,L24
