task,N,OFF,L0,L6,L12,L18,L24,ALL,SAMPLE_BEST,BEST_SINGLE_ACTION_GLOBAL,BEST_SINGLE_GLOBAL,BEST_SINGLE_ACTION_TASK,BEST_SINGLE_TASK
ruler_cwe_16k,500,0.0494,0.05,0.0502,0.0502,0.0504,0.049600000000000005,0.05,0.0524,L24,0.049600000000000005,L18,0.0504
ruler_fwe_16k,500,0.7693333333333333,0.7693333333333333,0.768,0.77,0.7686666666666666,0.774,0.7706666666666666,0.7826666666666666,L24,0.774,L24,0.774
ruler_niah_single_1_16k,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L24,1.0,L0,1.0
ruler_niah_single_2_16k,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L24,1.0,L0,1.0
ruler_niah_single_3_16k,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L24,1.0,L0,1.0
ruler_niah_multikey_1_16k,500,0.986,0.986,0.984,0.986,0.988,0.986,0.982,0.988,L24,0.986,L18,0.988
ruler_niah_multikey_2_16k,500,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.954,L24,0.952,L0,0.952
ruler_niah_multikey_3_16k,500,0.71,0.706,0.704,0.706,0.708,0.714,0.71,0.736,L24,0.714,L24,0.714
ruler_niah_multivalue_16k,500,0.9835,0.9835,0.9825,0.9845,0.981,0.9835,0.9845,0.9885,L24,0.9835,L12,0.9845
ruler_niah_multiquery_16k,500,0.963,0.9655,0.971,0.968,0.9655,0.963,0.9675,0.977,L24,0.963,L6,0.971
ruler_qa_squad_16k,500,0.506,0.512,0.514,0.504,0.5,0.508,0.504,0.528,L24,0.508,L6,0.514
ruler_qa_hotpotqa_16k,500,0.418,0.416,0.426,0.424,0.424,0.42,0.416,0.44,L24,0.42,L6,0.426
ruler_vt_16k,500,0.7012,0.6880000000000001,0.6980000000000001,0.6956,0.7008,0.7012,0.6988,0.7384000000000001,L24,0.7012,L24,0.7012
