sample_id,task,cohort,parent_6500_verified
ruler_cwe_16k:0000,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0001,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0002,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0003,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0004,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0005,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0006,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0007,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0008,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0009,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0010,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0011,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0012,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0013,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0014,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0015,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0016,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0017,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0018,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0019,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0020,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0021,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0022,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0023,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0024,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0025,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0026,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0027,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0028,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0029,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0030,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0031,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0032,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0033,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0034,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0035,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0036,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0037,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0038,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0039,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0040,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0041,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0042,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0043,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0044,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0045,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0046,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0047,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0048,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0049,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0050,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0051,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0052,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0053,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0054,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0055,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0056,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0057,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0058,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0059,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0060,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0061,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0062,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0063,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0064,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0065,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0066,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0067,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0068,ruler_cwe_16k,FORMAL_6500,true
