sample_id,task,cohort,parent_6500_verified,cell,reward,native_reward,distance_generation_start_relative_l2,closure_L1,closure_L2,closure_L3,closure_L4,closure_L5,closure_L6,first_divergence,K_bit,P_bit
ruler_fwe_16k:0242,ruler_fwe_16k,KP_ELIGIBLE_167,true,F01,0.0,1.0,0.00391288660466671,false,false,false,false,false,false,"{""closure_level"": ""L1"", ""layer"": 1, ""max_abs_diff"": 0.0078125, ""region"": ""FIRST_CONTINUATION_CHUNK"", ""relative_l2_diff"": 0.00016185903223231435, ""tensor"": ""attention_output""}",0,1
ruler_qa_squad_16k:0056,ruler_qa_squad_16k,KP_ELIGIBLE_167,true,F11,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,1
ruler_qa_squad_16k:0033,ruler_qa_squad_16k,KP_ELIGIBLE_167,true,F01,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,1
ruler_vt_16k:0286,ruler_vt_16k,KP_ELIGIBLE_167,true,F10,0.8,0.8,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,0
ruler_qa_squad_16k:0184,ruler_qa_squad_16k,KP_ELIGIBLE_167,true,F01,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,1
ruler_niah_multikey_3_16k:0202,ruler_niah_multikey_3_16k,KP_ELIGIBLE_167,true,F10,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,0
ruler_fwe_16k:0263,ruler_fwe_16k,KP_ELIGIBLE_167,true,F01,0.6666666666666666,0.6666666666666666,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,1
ruler_fwe_16k:0260,ruler_fwe_16k,KP_ELIGIBLE_167,true,F01,0.6666666666666666,1.0,0.004727170802652836,false,false,false,false,false,false,"{""closure_level"": ""L1"", ""layer"": 7, ""max_abs_diff"": 0.0078125, ""region"": ""FIRST_CONTINUATION_CHUNK"", ""relative_l2_diff"": 0.0001918092166306451, ""tensor"": ""attention_output""}",0,1
ruler_vt_16k:0322,ruler_vt_16k,KP_ELIGIBLE_167,true,F00,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,0
ruler_vt_16k:0057,ruler_vt_16k,KP_ELIGIBLE_167,true,F10,0.8,0.8,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,0
ruler_fwe_16k:0010,ruler_fwe_16k,KP_ELIGIBLE_167,true,F00,0.6666666666666666,1.0,0.0044189682230353355,false,false,false,false,false,false,"{""closure_level"": ""L1"", ""layer"": 1, ""max_abs_diff"": 0.00390625, ""region"": ""FIRST_CONTINUATION_CHUNK"", ""relative_l2_diff"": 0.0001546346757095307, ""tensor"": ""attention_output""}",0,0
ruler_qa_squad_16k:0056,ruler_qa_squad_16k,KP_ELIGIBLE_167,true,F01,1.0,1.0,0.0019117984920740128,false,false,false,false,true,false,"{""closure_level"": ""L1"", ""layer"": 25, ""max_abs_diff"": 0.125, ""region"": ""FIRST_CONTINUATION_CHUNK"", ""relative_l2_diff"": 5.71139607927762e-05, ""tensor"": ""attention_output""}",0,1
ruler_qa_squad_16k:0444,ruler_qa_squad_16k,KP_ELIGIBLE_167,true,F00,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,0
ruler_fwe_16k:0373,ruler_fwe_16k,KP_ELIGIBLE_167,true,F00,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,0
ruler_fwe_16k:0321,ruler_fwe_16k,KP_ELIGIBLE_167,true,F00,0.6666666666666666,1.0,0.0049257297068834305,false,false,false,false,false,false,"{""closure_level"": ""L1"", ""layer"": 1, ""max_abs_diff"": 0.001953125, ""region"": ""FIRST_CONTINUATION_CHUNK"", ""relative_l2_diff"": 3.233288953197189e-05, ""tensor"": ""attention_output""}",0,0
ruler_vt_16k:0358,ruler_vt_16k,KP_ELIGIBLE_167,true,F11,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,1
ruler_fwe_16k:0108,ruler_fwe_16k,KP_ELIGIBLE_167,true,F10,0.6666666666666666,1.0,0.0036017103120684624,true,true,false,false,false,false,"{""closure_level"": ""L3"", ""layer"": 0, ""max_abs_diff"": 0.03125, ""region"": ""INCOMPLETE_PROMPT_TAIL"", ""relative_l2_diff"": 0.002823345363140106, ""tensor"": ""mlp_output""}",1,0
ruler_niah_multikey_3_16k:0208,ruler_niah_multikey_3_16k,KP_ELIGIBLE_167,true,F00,0.0,1.0,0.003331766463816166,true,true,false,false,false,false,"{""closure_level"": ""L3"", ""layer"": 12, ""max_abs_diff"": 0.125, ""region"": ""INCOMPLETE_PROMPT_TAIL"", ""relative_l2_diff"": 0.0026119386311620474, ""tensor"": ""mlp_output""}",0,0
ruler_niah_multikey_3_16k:0217,ruler_niah_multikey_3_16k,KP_ELIGIBLE_167,true,F10,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,0
ruler_niah_multiquery_16k:0381,ruler_niah_multiquery_16k,KP_ELIGIBLE_167,true,F10,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,0
ruler_niah_multiquery_16k:0001,ruler_niah_multiquery_16k,KP_ELIGIBLE_167,true,F01,0.75,1.0,0.002608849899843335,false,false,false,false,false,false,"{""closure_level"": ""L1"", ""layer"": 25, ""max_abs_diff"": 0.125, ""region"": ""FIRST_CONTINUATION_CHUNK"", ""relative_l2_diff"": 0.00015068452921696007, ""tensor"": ""attention_output""}",0,1
ruler_fwe_16k:0372,ruler_fwe_16k,KP_ELIGIBLE_167,true,F10,0.6666666666666666,0.6666666666666666,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,0
ruler_fwe_16k:0324,ruler_fwe_16k,KP_ELIGIBLE_167,true,F10,0.6666666666666666,1.0,0.0039306688122451305,true,true,false,false,false,false,"{""closure_level"": ""L3"", ""layer"": 0, ""max_abs_diff"": 0.015625, ""region"": ""INCOMPLETE_PROMPT_TAIL"", ""relative_l2_diff"": 0.0028083582874387503, ""tensor"": ""mlp_output""}",1,0
ruler_fwe_16k:0254,ruler_fwe_16k,KP_ELIGIBLE_167,true,F10,0.6666666666666666,0.6666666666666666,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,0
ruler_vt_16k:0086,ruler_vt_16k,KP_ELIGIBLE_167,true,F11,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,1
ruler_vt_16k:0188,ruler_vt_16k,KP_ELIGIBLE_167,true,F10,0.8,0.8,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,0
ruler_niah_multivalue_16k:0266,ruler_niah_multivalue_16k,KP_ELIGIBLE_167,true,F01,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,1
ruler_fwe_16k:0472,ruler_fwe_16k,KP_ELIGIBLE_167,true,F10,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,0
ruler_vt_16k:0123,ruler_vt_16k,KP_ELIGIBLE_167,true,F11,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,1
ruler_niah_multikey_3_16k:0202,ruler_niah_multikey_3_16k,KP_ELIGIBLE_167,true,F00,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,0
ruler_qa_squad_16k:0424,ruler_qa_squad_16k,KP_ELIGIBLE_167,true,F11,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,1
ruler_niah_multivalue_16k:0144,ruler_niah_multivalue_16k,KP_ELIGIBLE_167,true,F00,0.75,1.0,0.004758087918162346,false,false,false,false,false,false,"{""closure_level"": ""L1"", ""layer"": 7, ""max_abs_diff"": 0.00390625, ""region"": ""FIRST_CONTINUATION_CHUNK"", ""relative_l2_diff"": 4.176097718300298e-05, ""tensor"": ""attention_output""}",0,0
ruler_fwe_16k:0488,ruler_fwe_16k,KP_ELIGIBLE_167,true,F10,0.6666666666666666,1.0,0.006696910597383976,true,true,false,false,false,false,"{""closure_level"": ""L3"", ""layer"": 6, ""max_abs_diff"": 0.015625, ""region"": ""INCOMPLETE_PROMPT_TAIL"", ""relative_l2_diff"": 0.0025854844134300947, ""tensor"": ""mlp_output""}",1,0
ruler_vt_16k:0170,ruler_vt_16k,KP_ELIGIBLE_167,true,F01,0.8,0.8,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,1
ruler_niah_multivalue_16k:0496,ruler_niah_multivalue_16k,KP_ELIGIBLE_167,true,F11,1.0,1.0,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",1,1
ruler_vt_16k:0093,ruler_vt_16k,KP_ELIGIBLE_167,true,F01,0.8,0.8,0.0,true,true,true,true,true,true,"{""closure_level"": ""NONE_OBSERVED"", ""layer"": null, ""region"": ""NONE_OBSERVED"", ""tensor"": null}",0,1
