sample_id,task,cohort,parent_6500_verified,native,counterfactual,effect,sample_best,off,action_sequence,boundary,retained_gain
ruler_vt_16k:0270,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""ALL"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_niah_multikey_3_16k:0202,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""OFF"", ""ALL"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",3,0.0
ruler_niah_multikey_3_16k:0464,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""OFF"", ""L6"", ""OFF"", ""L6"", ""L6"", ""OFF"", ""L6"", ""L6"", ""L6"", ""ALL"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",11,0.0
ruler_qa_squad_16k:0033,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L12"", ""L18"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",3,0.0
ruler_niah_multiquery_16k:0082,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.75,0.75,"[""L24"", ""L18"", ""L0"", ""L12"", ""L18"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",6,1.0
ruler_qa_hotpotqa_16k:0191,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L0"", ""L24"", ""L18"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]",4,0.0
ruler_niah_multivalue_16k:0060,ruler_niah_multivalue_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_niah_multivalue_16k:0245,ruler_niah_multivalue_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_vt_16k:0165,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""OFF"", ""L6"", ""OFF"", ""L6"", ""L6"", ""OFF"", ""L6"", ""L6"", ""L6"", ""L18"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",11,0.0
ruler_vt_16k:0199,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.6,0.4,0.19999999999999996,0.4,0.4,"[""L18"", ""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",3,0.0
