sample_id,task,native_score,deletion_score,random_score,native_minus_random_pp,random_minus_deletion_pp,n_branches,n_seeds
ruler_fwe_16k:0010,ruler_fwe_16k,1.0,0.6666666666666666,0.7999999999999999,20.000000000000007,13.33333333333333,1,5
ruler_fwe_16k:0088,ruler_fwe_16k,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,0.0,1,5
ruler_fwe_16k:0108,ruler_fwe_16k,1.0,0.7333333333333333,0.76,24.0,2.6666666666666727,5,5
ruler_fwe_16k:0227,ruler_fwe_16k,1.0,0.7333333333333333,0.6933333333333332,30.666666666666675,-4.0000000000000036,5,5
ruler_fwe_16k:0242,ruler_fwe_16k,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,0.0,1,5
ruler_fwe_16k:0254,ruler_fwe_16k,0.6666666666666666,0.4,0.4266666666666666,24.000000000000004,2.6666666666666563,5,5
ruler_fwe_16k:0256,ruler_fwe_16k,0.6666666666666666,0.6666666666666666,0.3333333333333333,33.33333333333333,-33.33333333333333,1,5
ruler_fwe_16k:0260,ruler_fwe_16k,1.0,1.0,0.6666666666666666,33.333333333333336,-33.333333333333336,1,5
ruler_fwe_16k:0293,ruler_fwe_16k,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,0.0,1,5
ruler_fwe_16k:0298,ruler_fwe_16k,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,0.0,1,5
ruler_fwe_16k:0321,ruler_fwe_16k,1.0,0.7333333333333332,0.7733333333333332,22.66666666666668,4.0000000000000036,5,5
ruler_fwe_16k:0324,ruler_fwe_16k,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,0.0,1,5
ruler_fwe_16k:0351,ruler_fwe_16k,1.0,0.7999999999999999,0.8266666666666665,17.333333333333346,2.6666666666666616,5,5
ruler_fwe_16k:0372,ruler_fwe_16k,0.6666666666666666,0.3333333333333333,0.39999999999999997,26.666666666666668,6.666666666666665,1,5
ruler_fwe_16k:0373,ruler_fwe_16k,1.0,0.6666666666666666,0.7333333333333333,26.66666666666667,6.666666666666665,1,5
ruler_fwe_16k:0386,ruler_fwe_16k,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,0.0,1,5
ruler_fwe_16k:0402,ruler_fwe_16k,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,0.0,1,5
ruler_fwe_16k:0472,ruler_fwe_16k,1.0,0.7999999999999999,0.8666666666666666,13.333333333333341,6.666666666666665,5,5
ruler_fwe_16k:0488,ruler_fwe_16k,1.0,0.6666666666666666,0.9333333333333332,6.666666666666677,26.66666666666666,1,5
ruler_fwe_16k:0498,ruler_fwe_16k,1.0,0.6666666666666666,0.7999999999999999,20.000000000000007,13.33333333333333,1,5
ruler_niah_multikey_1_16k:0432,ruler_niah_multikey_1_16k,1.0,0.0,0.2,80.0,20.0,1,5
