sample_id,task_id,A,B,tau,sequence,score,prediction_hash,full_schedule_hash,observed_update_calls,generation_update_count,seconds
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L0,1,OFF|L0|L0|L0|L0|L0|L0,0.6666666666666666,bf875b3b84ea11d230244e5df6a7cbcda723dec3fec4d92f4d5a85c2b8d2c71f,b6ac452dc4004edd156406c3e08a28c3f0aa78b7259c789b1a7e4771f2c5144b,6,0,8.152
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L0,2,OFF|OFF|L0|L0|L0|L0|L0,1.0,33b425204050ff805159b1f73c10a80b921e93c8f7a7f6db2e03ba9645d22627,b7f0b7a1d373384e6c7316a136355b23ecc4b8dff9d21ef05512398c12224ae6,5,0,8.158
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L0,3,OFF|OFF|OFF|L0|L0|L0|L0,0.6666666666666666,bf875b3b84ea11d230244e5df6a7cbcda723dec3fec4d92f4d5a85c2b8d2c71f,dc735d2ad5b2685b9571be2f1358e107ce558d524cb098e7ab4dac552eabffcc,4,0,8.163
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L0,4,OFF|OFF|OFF|OFF|L0|L0|L0,1.0,33b425204050ff805159b1f73c10a80b921e93c8f7a7f6db2e03ba9645d22627,36121bb8f8c4e612f4953b4e22260c7bbf1999cb45ca29c47c2a3739b649a39b,3,0,8.174
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L0,5,OFF|OFF|OFF|OFF|OFF|L0|L0,0.6666666666666666,bf875b3b84ea11d230244e5df6a7cbcda723dec3fec4d92f4d5a85c2b8d2c71f,8565ec50d9d3ebf3ee81c7cacf207511aaa442aa7519764571c339aeb0c23944,2,0,8.184
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L0,6,OFF|OFF|OFF|OFF|OFF|OFF|L0,1.0,33b425204050ff805159b1f73c10a80b921e93c8f7a7f6db2e03ba9645d22627,2181708ea0035e289e2ea8db0a1a7add5b1af2cac3353ffb0805370d7950dbc6,1,0,8.184
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L6,1,OFF|L6|L6|L6|L6|L6|L6,0.6666666666666666,bf875b3b84ea11d230244e5df6a7cbcda723dec3fec4d92f4d5a85c2b8d2c71f,3f2441b8c1c86121e16af17e73af68ae16b90ff143819b506f0da137d3c5e75b,6,0,8.275
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L6,2,OFF|OFF|L6|L6|L6|L6|L6,0.6666666666666666,bf875b3b84ea11d230244e5df6a7cbcda723dec3fec4d92f4d5a85c2b8d2c71f,e8bd426a4d76da9f223cb66e7a00402d6d526a2ee8a6fcb2eb1896d3bc1fe159,5,0,8.272
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L6,3,OFF|OFF|OFF|L6|L6|L6|L6,0.6666666666666666,bf875b3b84ea11d230244e5df6a7cbcda723dec3fec4d92f4d5a85c2b8d2c71f,b287a4e5d5a21813d2e2d7845a9af5bf8df3bdf8ca6ebfea59ac8d2b51105518,4,0,8.258
ruler_fwe_16k:0087,ruler_fwe_16k_0087__r0,OFF,L6,4,OFF|OFF|OFF|OFF|L6|L6|L6,0.6666666666666666,bf875b3b84ea11d230244e5df6a7cbcda723dec3fec4d92f4d5a85c2b8d2c71f,f1df5d7c08079f8e695c4c72d94679fdaa96892bff4b9029e9cc25e5925480dc,3,0,8.269
