sample_id,task_id,A,B,tau,sequence,score,prediction_hash,full_schedule_hash,observed_update_calls,generation_update_count,seconds
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L0,1,OFF|L0|L0|L0|L0|L0|L0,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,b6ac452dc4004edd156406c3e08a28c3f0aa78b7259c789b1a7e4771f2c5144b,6,0,5.828
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L0,2,OFF|OFF|L0|L0|L0|L0|L0,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,b7f0b7a1d373384e6c7316a136355b23ecc4b8dff9d21ef05512398c12224ae6,5,0,5.843
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L0,3,OFF|OFF|OFF|L0|L0|L0|L0,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,dc735d2ad5b2685b9571be2f1358e107ce558d524cb098e7ab4dac552eabffcc,4,0,5.856
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L0,4,OFF|OFF|OFF|OFF|L0|L0|L0,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,36121bb8f8c4e612f4953b4e22260c7bbf1999cb45ca29c47c2a3739b649a39b,3,0,5.857
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L0,5,OFF|OFF|OFF|OFF|OFF|L0|L0,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,8565ec50d9d3ebf3ee81c7cacf207511aaa442aa7519764571c339aeb0c23944,2,0,5.853
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L0,6,OFF|OFF|OFF|OFF|OFF|OFF|L0,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,2181708ea0035e289e2ea8db0a1a7add5b1af2cac3353ffb0805370d7950dbc6,1,0,5.854
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L6,1,OFF|L6|L6|L6|L6|L6|L6,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,3f2441b8c1c86121e16af17e73af68ae16b90ff143819b506f0da137d3c5e75b,6,0,5.888
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L6,2,OFF|OFF|L6|L6|L6|L6|L6,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,e8bd426a4d76da9f223cb66e7a00402d6d526a2ee8a6fcb2eb1896d3bc1fe159,5,0,5.890
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L6,3,OFF|OFF|OFF|L6|L6|L6|L6,1.0,4d62d45245d7b9fdd994755a3aa58a1bffb594d2010a3dd14b910afa3592c06a,b287a4e5d5a21813d2e2d7845a9af5bf8df3bdf8ca6ebfea59ac8d2b51105518,4,0,5.846
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L6,4,OFF|OFF|OFF|OFF|L6|L6|L6,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,f1df5d7c08079f8e695c4c72d94679fdaa96892bff4b9029e9cc25e5925480dc,3,0,5.884
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L6,5,OFF|OFF|OFF|OFF|OFF|L6|L6,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,e03d224e6297f761a6858e36020efd0d0163a06d0efbfff84fcd658cf4fc9d7b,2,0,5.870
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L6,6,OFF|OFF|OFF|OFF|OFF|OFF|L6,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,6b24276351b646f06f3a04c7a71a596617c47acd0c3da25309ba702c7b3e06ab,1,0,5.867
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L12,1,OFF|L12|L12|L12|L12|L12|L12,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,8462d23aece5ac2eb7208117ba4d519d4399c540cec59f28d914b70b49f9f66e,6,0,5.902
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L12,2,OFF|OFF|L12|L12|L12|L12|L12,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,2d1c2ab0b3c4ca044584229d528d85dd68b2dc9e7f90881928193eb9fd58e0fa,5,0,5.896
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L12,3,OFF|OFF|OFF|L12|L12|L12|L12,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,bb866b08a5d7f6eeb50c26b3419cc6c333091703fe9f72ede04456b4b5e3e41e,4,0,5.889
ruler_fwe_16k:0018,ruler_fwe_16k_0018__r0,OFF,L12,4,OFF|OFF|OFF|OFF|L12|L12|L12,0.6666666666666666,7ba225269c97b306762e4f9796fed7d7a9e4c15c7170c7d42e46e5dd55605d3b,e33b0f2df12800af2f12f6e9f741d62a601a7226511b8ceb664a9488a7a0720e,3,0,5.885
